Name,X,Y,BlueF,GreenF,RedF,Parallax,RadialVelocity,Variable?,Period,Luminosity,dLuminosity,dGreenF,Distance,dDistance
BackS016089,32.1344,30.6783,7.797e-14,6.923e-14,3.892e-14,-0.0,-110.17,1,53.313782991202345,-4.386437681075225,0.3771673258385854,6.923e-16,24357.57192574033,10577.487925386315
BackS016239,32.1954,30.7183,7.076e-14,5.861e-14,2.876e-14,0.0,-108.64,1,53.43915343915343,-4.39390796912071,0.3776185031129955,5.861e-16,26245.82052816643,11411.108488744054
BackS016296,32.1774,30.6288,4.231e-14,3.625e-14,1.899e-14,0.001,-109.8,1,56.63551401869159,-4.584365406392532,0.3892918262397843,3.6249999999999997e-16,26801.75860689904,12012.994915947746
BackS016466,32.467,30.5334,5.513e-14,4.466e-14,2.04e-14,-0.0,-110.13,1,54.59459459459459,-4.462755758945321,0.38180086447376815,4.466e-16,27775.55599526842,12209.937926597177
BackS016602,32.5604,30.8149,8.436e-14,6.422e-14,2.785e-14,-0.0,-109.37,1,52.57374204742626,-4.34234181075005,0.3745147837827261,6.422000000000001e-16,26606.879577554013,11473.021334109368
BackS016873,31.8637,30.8396,6.268e-14,5.133e-14,2.456e-14,-0.0,-108.98,1,54.20393559928444,-4.43947806256455,0.38038194531035396,5.133e-16,26611.866528909144,11654.918184807382
BackS017073,32.614,30.849,7.914e-14,6.059e-14,2.527e-14,0.001,-109.97,1,52.57374204742626,-4.34234181075005,0.3745147837827261,6.058999999999999e-16,27392.307503674478,11811.70183689134
BackS017102,31.9386,30.6157,1.026e-13,9.286e-14,5.28e-14,0.0,-109.14,1,50.81050866405813,-4.237278285170924,0.3682702939845628,9.286e-16,24971.608512700746,10588.36968544152
BackS017175,32.4723,30.8245,3.472e-14,2.698e-14,1.151e-14,-0.0,-110.22,1,56.919223544145275,-4.601270441917443,0.39034326442113093,2.698e-16,30467.99013983305,13693.140602214333
BackS017368,32.4403,31.1818,9.239e-14,7.229e-14,3.153e-14,-0.0,-109.63,1,51.73591348890153,-4.292419195275666,0.37153415217719704,7.229e-16,26561.420052351623,11362.277523377712
