Name,X,Y,BlueF,GreenF,RedF,Size,RadialVelocity
BackDG0050,-8.2964,-27.6046,8.49E-18,7.27E-18,3.06E-18,110.489,-1493.96
BackDG0051,-8.2302,-27.7291,1.18E-17,9.98E-18,4.07E-18,44.4239,-1493.93
BackDG0052,-8.3449,-27.6217,1.27E-17,9.51E-18,5.26E-18,52.2977,-1494.05
BackDG0053,-8.4188,-27.5488,1.31E-17,1.08E-17,4.95E-18,57.9153,-1493.85
BackDG0054,-8.3127,-27.4879,8.32E-18,7.35E-18,3.25E-18,53.0088,-1493.76
BackDG0055,-8.3914,-27.4667,1.19E-17,1.03E-17,4.56E-18,59.742,-1493.83
BackDG0056,-8.3153,-27.6791,1.23E-17,9.59E-18,4.68E-18,49.7761,-1493.71
BackDG0057,-8.4172,-27.5645,1.14E-17,1.06E-17,4.39E-18,56.7054,-1494.27
BackDG0060,11.8481,-37.5216,2.95E-17,2.24E-17,7.50E-18,113.9771,-1653.68
BackDG0061,11.5226,-37.521,1.17E-17,9.48E-18,4.51E-18,44.1836,-1653.49
BackDG0062,11.6108,-37.0244,1.16E-17,9.49E-18,4.25E-18,40.0076,-1653.82
BackDG0063,11.8445,-37.2609,5.94E-18,5.04E-18,2.57E-18,58.1681,-1653.22
BackDG0064,11.5909,-37.1409,1.01E-17,9.19E-18,3.54E-18,40.4713,-1653.4
BackDG0065,11.5448,-37.7947,1.08E-17,8.81E-18,3.61E-18,57.7982,-1653.29
BackDG0066,12.2253,-37.3389,1.48E-17,1.20E-17,4.46E-18,44.993,-1653.33
BackDG0067,12.1137,-37.3743,1.07E-17,9.80E-18,4.35E-18,48.8066,-1653.43
BackDG0068,12.0211,-37.4371,1.11E-17,8.85E-18,4.87E-18,40.3505,-1653.51
BackDG0069,11.8584,-37.5071,6.82E-18,5.94E-18,2.64E-18,120.4825,-1653.76
BackDG0070,12.2484,-37.9275,1.00E-17,8.48E-18,3.84E-18,42.3046,-1653.71
BackDG0071,11.612,-37.2491,6.80E-18,5.85E-18,2.58E-18,51.9546,-1653.45
BackDG0072,11.639,-37.5577,9.88E-18,7.96E-18,3.86E-18,39.0872,-1653.4
