,Name,X,Y,BlueF,GreenF,RedF,Size,RadialVelocity
0,BackDG0050,-8.2964,-27.6046,8.485e-18,7.266e-18,3.064e-18,110.489,-1493.96
1,BackDG0051,-8.2302,-27.7291,1.178e-17,9.976e-18,4.07e-18,44.4239,-1493.93
2,BackDG0052,-8.3449,-27.6217,1.27e-17,9.513e-18,5.255e-18,52.2977,-1494.05
3,BackDG0053,-8.4188,-27.5488,1.311e-17,1.08e-17,4.945e-18,57.9153,-1493.85
4,BackDG0054,-8.3127,-27.4879,8.319e-18,7.351e-18,3.251e-18,53.0088,-1493.76
5,BackDG0055,-8.3914,-27.4667,1.187e-17,1.032e-17,4.557e-18,59.742,-1493.83
6,BackDG0056,-8.3153,-27.6791,1.231e-17,9.589e-18,4.681e-18,49.7761,-1493.71
7,BackDG0057,-8.4172,-27.5645,1.138e-17,1.055e-17,4.393e-18,56.7054,-1494.27
8,BackDG0060,11.8481,-37.5216,2.953e-17,2.235e-17,7.495e-18,113.9771,-1653.68
9,BackDG0061,11.5226,-37.521,1.173e-17,9.48e-18,4.509e-18,44.1836,-1653.49
10,BackDG0062,11.6108,-37.0244,1.164e-17,9.491e-18,4.249e-18,40.0076,-1653.82
11,BackDG0063,11.8445,-37.2609,5.935e-18,5.039e-18,2.571e-18,58.1681,-1653.22
12,BackDG0064,11.5909,-37.1409,1.005e-17,9.188e-18,3.541e-18,40.4713,-1653.4
13,BackDG0065,11.5448,-37.7947,1.079e-17,8.813e-18,3.611e-18,57.7982,-1653.29
14,BackDG0066,12.2253,-37.3389,1.48e-17,1.201e-17,4.462e-18,44.993,-1653.33
15,BackDG0067,12.1137,-37.3743,1.065e-17,9.8e-18,4.345e-18,48.8066,-1653.43
16,BackDG0068,12.0211,-37.4371,1.106e-17,8.85e-18,4.873e-18,40.3505,-1653.51
17,BackDG0069,11.8584,-37.5071,6.815e-18,5.942e-18,2.644e-18,120.4825,-1653.76
18,BackDG0070,12.2484,-37.9275,1.004e-17,8.48e-18,3.842e-18,42.3046,-1653.71
19,BackDG0071,11.612,-37.2491,6.797e-18,5.854e-18,2.583e-18,51.9546,-1653.45
20,BackDG0072,11.639,-37.5577,9.884e-18,7.964e-18,3.862e-18,39.0872,-1653.4
21,BackDG0073,12.0477,-37.8169,7.187e-18,5.63e-18,2.64e-18,63.6242,-1653.53
22,BackDG0074,11.7407,-37.0211,7.292e-18,6.582e-18,2.835e-18,44.1905,-1653.54
23,BackDG0075,11.8814,-37.5769,6.98e-18,5.414e-18,2.814e-18,92.7411,-1653.29
24,BackDG0076,11.8107,-37.6596,6.873e-18,5.543e-18,2.533e-18,84.3906,-1653.4
25,BackDG0077,11.5349,-37.8489,1.003e-17,8.698e-18,3.792e-18,42.8442,-1653.74
26,BackDG0078,12.1675,-37.6766,1.155e-17,9.064e-18,4.256e-18,44.4874,-1653.7
27,BackDG0079,12.0344,-37.2199,6.691e-18,5.576e-18,2.369e-18,53.1508,-1653.59
28,BackDG0080,11.7944,-37.1285,6.74e-18,5.82e-18,2.807e-18,74.2,-1653.87
29,BackDG0081,11.6154,-37.0173,9.571e-18,8.593e-18,4.018e-18,38.3243,-1653.15
30,BackDG0082,11.4323,-37.2279,1.053e-17,9.532e-18,4.502e-18,48.694,-1653.61
31,BackDG0122,15.0002,-12.9136,7.219e-18,5.523e-18,2.838e-18,77.77,-1644.63
32,BackDG0123,14.8962,-12.9385,1.036e-17,7.972e-18,3.468e-18,42.611,-1644.55
33,BackDG0124,14.8797,-12.95,9.526e-18,8.632e-18,3.901e-18,56.5156,-1644.87
34,BackDG0125,14.9291,-12.8695,9.695e-18,8.17e-18,3.546e-18,46.4831,-1644.7
35,BackDG0126,15.0462,-12.7966,1.26e-17,1.1e-17,4.989e-18,45.284,-1644.92
36,BackDG0127,15.0367,-12.8654,1.152e-17,8.587e-18,4.286e-18,54.099,-1644.88
37,BackDG0128,14.9732,-12.8802,9.845e-18,8.402e-18,3.926e-18,43.6658,-1645.06
38,BackDG0129,14.9457,-12.9023,1.023e-17,8.111e-18,3.549e-18,40.5083,-1644.94
39,BackDG0145,-4.5001,43.6207,6.458e-18,5.645e-18,2.49e-18,44.5759,-1754.91
40,BackDG0187,40.9036,-41.5939,2.813e-17,2.327e-17,8.347e-18,155.3255,-1576.14
41,BackDG0188,41.3107,-41.8673,1.119e-17,9.492e-18,4.308e-18,54.0896,-1576.54
42,BackDG0189,40.8919,-41.4056,1.063e-17,8.698e-18,4.037e-18,43.4268,-1576.38
43,BackDG0190,41.1661,-41.5463,1.161e-17,9.266e-18,4.098e-18,53.8017,-1576.56
44,BackDG0191,40.7972,-41.4128,1.08e-17,9.42e-18,3.692e-18,46.3186,-1576.51
45,BackDG0192,40.7,-41.4403,1.172e-17,9.432e-18,4.88e-18,54.3371,-1576.58
46,BackDG0193,40.7275,-41.7815,1.058e-17,9.071e-18,3.881e-18,41.5193,-1576.48
47,BackDG0194,40.7014,-41.574,1.132e-17,9.183e-18,3.952e-18,66.2268,-1576.62
48,BackDG0195,40.86,-41.9539,6.952e-18,6.4e-18,3.016e-18,53.4351,-1576.82
49,BackDG0196,40.799,-41.2666,1.604e-17,1.235e-17,4.986e-18,53.1985,-1576.37
50,BackDG0197,40.7156,-41.2743,1.05e-17,9.346e-18,4.004e-18,39.2938,-1576.56
51,BackDG0198,40.9041,-41.8502,1.144e-17,9.927e-18,4.526e-18,45.32,-1576.48
52,BackDG0199,-26.992,-22.5793,4.357e-17,3.666e-17,1.218e-17,134.4327,-1337.74
53,BackDG0200,-26.9727,-22.593,1.477e-17,1.322e-17,5.93e-18,48.9533,-1337.7
54,BackDG0201,-27.0127,-22.7293,1.744e-17,1.338e-17,5.665e-18,63.2807,-1337.88
55,BackDG0202,-27.0779,-22.7265,1.568e-17,1.333e-17,5.937e-18,56.6419,-1338.06
56,BackDG0203,-27.1642,-22.4889,1.51e-17,1.433e-17,6.233e-18,74.1574,-1337.97
57,BackDG0204,-27.0306,-22.6957,2.017e-17,1.868e-17,7.333e-18,62.4337,-1337.64
58,BackDG0205,-26.9075,-22.551,1.648e-17,1.348e-17,5.714e-18,46.5539,-1337.76
59,BackDG0206,-27.0952,-22.5018,1.459e-17,1.234e-17,5.618e-18,42.7084,-1338.0
60,BackDG0207,-27.1849,-22.6776,1.163e-17,9.166e-18,4.39e-18,66.9296,-1338.05
61,BackDG0208,-27.1006,-22.4522,1.567e-17,1.324e-17,5.781e-18,53.8722,-1337.89
62,BackDG0230,31.0328,23.219,7.609e-18,5.687e-18,2.827e-18,61.2069,-1597.23
63,BackDG0231,31.0087,23.17,1.093e-17,8.615e-18,4.409e-18,58.578,-1597.3
64,BackDG0232,30.9967,23.2985,1.025e-17,9.067e-18,4.589e-18,45.3302,-1597.52
65,BackDG0233,31.1438,23.2744,9.786e-18,8.225e-18,4.005e-18,48.0905,-1597.23
66,BackDG0234,31.0872,23.356,9.837e-18,8.661e-18,3.553e-18,44.5037,-1597.16
67,BackDG0240,7.3947,-2.6841,1.323e-17,1.17e-17,5.094e-18,54.1174,-1371.48
68,BackDG0241,7.465,-2.6969,2.272e-17,1.662e-17,7.02e-18,56.7879,-1371.38
69,BackDG0242,7.3561,-2.679,1.444e-17,1.277e-17,5.66e-18,56.0627,-1371.6
70,BackDG0247,-40.887,11.297,7.444e-18,6.836e-18,3.284e-18,130.8437,-1431.06
71,BackDG0248,-41.0036,11.4884,1.412e-17,1.192e-17,5.37e-18,52.7575,-1430.8
72,BackDG0249,-41.0567,11.3209,1.185e-17,1.049e-17,4.93e-18,46.9904,-1430.6
73,BackDG0250,-40.7448,11.3836,1.283e-17,1.118e-17,5.067e-18,76.7215,-1430.82
74,BackDG0251,-40.8529,11.1944,1.304e-17,9.968e-18,5.071e-18,49.2444,-1430.64
75,BackDG0252,-40.734,11.4397,1.23e-17,1.055e-17,5.135e-18,68.3192,-1430.81
76,BackDG0253,-41.0675,11.2947,1.233e-17,9.955e-18,4.673e-18,42.5182,-1430.98
77,BackDG0254,-40.6092,11.3185,1.272e-17,1.043e-17,4.736e-18,48.5834,-1430.81
78,BackDG0255,-40.8912,11.1556,9.981e-18,7.584e-18,3.18e-18,47.9986,-1430.66
79,BackDG0321,3.9339,27.4776,3.145e-17,2.27e-17,8.89e-18,102.3689,-1522.0
80,BackDG0322,3.8656,27.3135,8.495e-18,6.406e-18,3.007e-18,45.6781,-1522.03
81,BackDG0323,3.8209,27.544,1.192e-17,8.542e-18,3.948e-18,48.7532,-1521.87
82,BackDG0324,3.9305,27.3605,1.072e-17,8.618e-18,4.238e-18,46.1492,-1521.87
83,BackDG0325,4.0223,27.2568,1.196e-17,9.693e-18,4.694e-18,44.0204,-1521.69
84,BackDG0326,3.7253,27.6185,1.219e-17,8.579e-18,4.004e-18,42.1859,-1522.02
85,BackDG0327,4.091,27.5005,1.273e-17,9.731e-18,4.04e-18,48.3182,-1521.86
86,BackDG0328,3.9901,27.4341,1.028e-17,1.006e-17,4.447e-18,38.4789,-1521.77
87,BackDG0329,3.8819,27.5078,1.052e-17,9.519e-18,4.276e-18,42.7955,-1522.0
88,BackDG0330,3.9704,27.3,1.062e-17,8.614e-18,4.057e-18,40.8961,-1521.6
89,BackDG0331,4.0737,27.6172,1.204e-17,1.102e-17,4.723e-18,52.2046,-1522.02
90,BackDG0332,3.7897,27.5737,1.065e-17,9.02e-18,4.184e-18,45.4009,-1522.18
91,BackDG0333,25.2302,0.7451,5.89e-17,4.738e-17,1.494e-17,193.051,-1092.03
92,BackDG0334,25.6484,0.7124,2.14e-17,1.934e-17,8.491e-18,82.1411,-1092.42
93,BackDG0335,25.3363,0.8422,1.405e-17,1.159e-17,5.324e-18,75.8026,-1092.24
94,BackDG0336,25.3184,0.5637,1.721e-17,1.322e-17,6.24e-18,118.447,-1092.62
95,BackDG0337,25.298,0.7414,1.937e-17,1.738e-17,8.009e-18,66.6718,-1092.38
96,BackDG0338,25.1971,0.6905,2.775e-17,2.381e-17,8.321e-18,62.3611,-1092.24
97,BackDG0339,25.0657,0.7179,1.694e-17,1.32e-17,5.961e-18,117.2908,-1092.74
