Name,X,Y,BlueF,GreenF,RedF,Parallax,RadialVelocity,Variable?
BackS016039,32.1967,30.6554,2.162e-20,2.844e-20,3.620e-20,-0.001,-109.59,1
BackS016043,32.1590,30.6115,8.697e-20,1.004e-19,9.699e-20,0.0,-110.29,0
BackS016044,32.1582,30.6891,7.982e-18,6.393e-18,2.979e-18,0.0,-108.94,0
BackS016050,32.1994,30.6870,1.821e-20,2.572e-20,3.834e-20,-0.001,-108.95,0
BackS016051,32.1127,30.6622,6.196e-20,7.033e-20,6.458e-20,0.001,-110.74,0
BackS016052,32.2527,30.6253,2.681e-17,1.986e-17,8.227e-18,0.0,-110.19,1
BackS016053,32.1776,30.6265,6.959e-20,8.088e-20,7.674e-20,-0.0,-110.17,0
BackS016054,32.1361,30.6268,4.083e-17,2.960e-17,1.120e-17,-0.001,-110.3,0
BackS016056,32.2030,30.6129,2.683e-19,2.617e-19,1.830e-19,0.001,-109.52,0
BackS016057,32.1695,30.5957,1.755e-18,2.792e-18,5.137e-18,0.001,-110.11,0
BackS016058,32.2090,30.6777,1.936e-17,1.481e-17,6.266e-18,0.001,-109.66,1
BackS016059,32.2525,30.7036,2.854e-18,2.419e-18,1.235e-18,-0.001,-110.5,0
BackS016060,32.1931,30.7213,3.776e-18,3.106e-18,1.517e-18,0.0,-108.72,0
BackS016061,32.2018,30.6848,1.526e-20,1.944e-20,2.279e-20,-0.0,-108.99,0
BackS016062,32.2076,30.6263,1.379e-19,1.466e-19,1.161e-19,-0.0,-110.22,0
BackS016065,32.1192,30.6112,1.291e-18,1.964e-18,3.357e-18,0.0,-109.75,0
BackS016066,32.2073,30.6031,2.749e-18,4.813e-18,1.127e-17,-0.001,-110.64,0
BackS016068,32.1390,30.6521,3.110e-17,2.307e-17,8.818e-18,0.0,-110.63,0
BackS016070,32.1879,30.6891,1.879e-17,1.450e-17,6.301e-18,-0.0,-109.78,1
BackS016071,32.2859,30.7037,3.062e-20,3.811e-20,4.388e-20,-0.0,-108.68,0
BackS016074,32.1655,30.6744,2.928e-17,2.285e-17,9.762e-18,0.001,-108.91,0
BackS016075,32.2474,30.6460,5.726e-18,4.735e-18,2.314e-18,-0.0,-108.76,0
BackS016078,32.1575,30.6263,6.315e-19,9.805e-19,1.732e-18,0.0,-108.69,0
BackS016079,32.2100,30.7195,1.517e-18,1.345e-18,7.542e-19,-0.0,-109.9,0
BackS016080,32.1833,30.7519,7.065e-18,9.903e-18,1.425e-17,-0.0,-109.74,0
