Name,X,Y,BlueF,GreenF,RedF,Parallax,RadialVelocity,Variable?
BottomS006200,24.6456,13.1330,2.249e-19,2.157e-19,1.443e-19,0.001,-127.3,0
BottomS006202,24.6173,13.1705,1.230e-19,1.286e-19,1.005e-19,0.0,-126.18,0
BottomS006207,24.6323,13.1824,2.939e-20,3.432e-20,3.535e-20,-0.001,-126.01,0
BottomS006208,24.6187,13.1728,5.528e-14,4.888e-14,2.725e-14,0.0,-124.9,1
BottomS006214,24.6164,13.2015,1.308e-18,2.374e-18,6.073e-18,-0.0,-125.02,0
BottomS006218,24.6129,13.1491,3.295e-20,3.892e-20,4.083e-20,-0.0,-126.62,0
BottomS006220,24.6322,13.1480,8.076e-19,1.364e-18,2.839e-18,0.001,-127.6,0
BottomS006221,24.6109,13.1490,2.891e-18,4.050e-18,5.924e-18,0.0,-126.57,0
BottomS006223,24.6239,13.1606,4.923e-20,5.579e-20,5.196e-20,-0.0,-127.38,0
BottomS006225,24.6171,13.2151,1.042e-19,1.114e-19,9.147e-20,-0.001,-125.32,0
BottomS006226,24.6705,13.1287,1.776e-19,1.761e-19,1.285e-19,-0.0,-127.15,0
BottomS006228,24.6126,13.1693,1.419e-20,1.870e-20,2.380e-20,0.0,-125.76,0
BottomS006232,24.6364,13.1385,1.343e-18,2.325e-18,5.390e-18,0.0,-127.44,0
BottomS006233,24.6170,13.1712,3.441e-20,4.022e-20,4.008e-20,-0.0,-125.71,0
BottomS006235,24.6518,13.1424,3.576e-20,4.226e-20,4.209e-20,-0.0,-127.27,0
BottomS006236,24.6105,13.1596,4.538e-15,2.977e-15,9.591e-16,0.0,-126.85,0
BottomS006238,24.6162,13.1717,3.661e-18,2.893e-18,1.328e-18,-0.0,-124.5,0
BottomS006239,24.6201,13.1718,4.364e-19,4.273e-19,2.864e-19,-0.0,-126.14,0
BottomS006240,24.6174,13.1706,6.744e-20,7.532e-20,6.749e-20,0.0,-126.21,0
BottomS006243,24.6066,13.2134,2.200e-20,2.727e-20,3.177e-20,0.0,-124.96,0
BottomS006245,24.5601,13.1275,1.968e-20,2.397e-20,2.630e-20,-0.0,-126.06,0
BottomS006251,24.6623,13.1425,9.131e-19,1.798e-18,5.268e-18,-0.0,-126.92,0
BottomS006252,24.6660,13.1681,6.869e-20,7.436e-20,6.452e-20,-0.0,-126.51,0
BottomS006253,24.5824,13.1770,2.028e-20,2.431e-20,2.567e-20,0.0,-125.35,0
BottomS006254,24.6098,13.1530,1.316e-20,1.796e-20,2.407e-20,-0.0,-126.47,0
BottomS006255,24.6141,13.1767,8.694e-19,7.701e-19,4.271e-19,0.0,-124.9,0
BottomS006257,24.6107,13.1784,2.816e-20,3.350e-20,3.391e-20,0.0,-124.45,0
BottomS006258,24.6246,13.1183,1.114e-20,1.387e-20,1.585e-20,0.0,-126.9,0
BottomS006259,24.6173,13.1692,1.836e-20,2.209e-20,2.451e-20,-0.0,-127.23,0
BottomS006261,24.7223,13.0758,7.538e-14,6.010e-14,2.737e-14,-0.0,-126.87,1
BottomS006263,24.6191,13.1701,3.138e-19,3.210e-19,2.381e-19,-0.0,-127.84,0
BottomS006264,24.4563,13.2744,3.087e-20,3.625e-20,3.561e-20,-0.0,-125.42,0
BottomS006268,24.6184,13.1377,3.656e-19,6.197e-19,1.330e-18,0.001,-126.99,0
BottomS006273,24.6059,13.1735,2.116e-20,2.483e-20,2.518e-20,-0.0,-125.19,0
BottomS006278,24.6129,13.1296,2.184e-19,2.289e-19,1.811e-19,-0.0,-126.62,0
BottomS006279,24.6280,13.1639,2.926e-19,2.786e-19,1.865e-19,-0.0,-127.39,0
BottomS006280,24.6182,13.1725,9.715e-20,1.072e-19,9.230e-20,0.0,-125.88,0
BottomS006282,24.6028,13.1486,3.573e-20,4.183e-20,4.124e-20,0.001,-126.3,0
