Name,Equat,Polar,BlueF,GreenF,RedF,Size,RadialVelocity
FrontDG0058,177.0921,57.6735,2.375e-17,2.183e-17,8.049e-18,78.362,-1032.76
FrontDG0059,177.1804,57.6075,3.588e-17,2.969e-17,1.116e-17,62.2796,-1032.56
FrontDG0121,167.0659,66.0126,2.358e-17,1.981e-17,8.47e-18,98.5109,-878.35
FrontDG0155,161.7162,116.0942,4.443e-17,3.67e-17,1.116e-17,166.2307,-1246.0
FrontDG0156,161.8137,116.1019,1.475e-17,1.256e-17,5.81e-18,56.5016,-1246.02
FrontDG0157,161.6244,116.0545,2.441e-17,1.844e-17,8.498e-18,55.3615,-1246.07
FrontDG0158,161.8049,116.2326,1.777e-17,1.217e-17,5.947e-18,57.4917,-1245.92
FrontDG0159,161.848,116.2578,1.643e-17,1.181e-17,6.129e-18,50.3562,-1245.92
FrontDG0160,161.7038,116.2921,1.621e-17,1.359e-17,6.625e-18,69.153,-1245.97
FrontDG0161,161.4978,116.0197,1.706e-17,1.573e-17,6.981e-18,60.1388,-1246.15
FrontDG0162,161.4966,115.9507,2.47e-17,1.813e-17,7.911e-18,63.6297,-1245.7
FrontDG0163,161.5668,115.8949,1.836e-17,1.407e-17,6.411e-18,75.6668,-1246.07
FrontDG0164,161.6684,116.0654,1.593e-17,1.226e-17,6.156e-18,47.8411,-1246.24
FrontDG0175,153.3558,96.4835,2.93e-17,2.272e-17,8.11e-18,167.0159,-1637.86
FrontDG0176,153.4254,96.4382,1.025e-17,8.852e-18,4.122e-18,42.9704,-1637.84
FrontDG0177,153.4897,96.4456,9.696e-18,8.87e-18,4.048e-18,45.651,-1637.62
FrontDG0178,153.4427,96.3309,1.062e-17,8.518e-18,3.79e-18,49.224,-1637.49
FrontDG0179,153.3086,96.5368,6.752e-18,5.307e-18,2.567e-18,81.8845,-1637.61
FrontDG0180,153.4815,96.4622,1.071e-17,8.025e-18,4.238e-18,47.6504,-1637.84
FrontDG0181,153.1125,96.5705,9.834e-18,8.498e-18,3.945e-18,56.6614,-1637.33
FrontDG0182,153.4365,96.4258,9.77e-18,7.126e-18,3.687e-18,46.4445,-1637.45
FrontDG0183,153.4255,96.4965,1.528e-17,1.142e-17,5.426e-18,40.1524,-1637.75
FrontDG0184,153.2776,96.5689,1.04e-17,9.661e-18,4.361e-18,46.206,-1637.72
FrontDG0185,153.4157,96.286,1.095e-17,9.811e-18,4.207e-18,44.7233,-1637.56
FrontDG0186,153.3829,96.534,1.095e-17,8.068e-18,4.597e-18,39.3487,-1637.7
FrontDG0209,208.6415,49.326,9.501e-18,8.534e-18,3.793e-18,46.116,-1688.43
FrontDG0210,208.5606,49.3566,1.095e-17,7.513e-18,3.679e-18,50.0587,-1688.52
FrontDG0211,208.684,49.2839,1.08e-17,8.073e-18,4.253e-18,45.3937,-1688.65
FrontDG0212,208.6042,49.3829,9.445e-18,8.023e-18,3.15e-18,38.977,-1688.63
FrontDG0235,182.1809,92.4522,9.668e-18,8.18e-18,3.873e-18,89.5597,-1360.05
FrontDG0236,182.2844,92.4293,1.053e-17,7.621e-18,3.611e-18,62.0269,-1359.95
FrontDG0237,182.1365,92.3481,1.013e-17,8.641e-18,3.474e-18,61.3136,-1360.19
FrontDG0238,182.2403,92.478,1.805e-17,1.63e-17,6.617e-18,47.6271,-1359.99
FrontDG0239,182.0724,92.3557,1.494e-17,1.286e-17,5.943e-18,66.4017,-1360.16
FrontDG0243,140.0683,114.744,1.406e-17,1.36e-17,6.103e-18,58.9366,-1284.62
FrontDG0244,140.0456,114.6621,1.455e-17,1.274e-17,5.508e-18,59.0696,-1284.83
FrontDG0245,139.9635,114.6609,1.476e-17,1.201e-17,5.932e-18,54.2075,-1284.51
FrontDG0246,139.9929,114.6234,1.528e-17,1.267e-17,5.825e-18,45.7701,-1284.55
FrontDG0257,176.1679,122.7688,1.472e-17,1.262e-17,6.138e-18,108.1656,-1095.47
FrontDG0258,176.1982,122.8219,2.457e-17,1.83e-17,9.337e-18,77.1012,-1095.22
FrontDG0259,176.237,122.8863,2.3e-17,1.81e-17,8.059e-18,67.2252,-1095.33
FrontDG0260,176.2091,122.7593,2.16e-17,1.633e-17,7.411e-18,62.7348,-1095.21
FrontDG0261,176.1572,122.7037,1.704e-17,1.334e-17,5.972e-18,76.7893,-1095.37
FrontDG0265,152.1664,61.6621,1.146e-17,8.831e-18,4.322e-18,48.3693,-1579.31
FrontDG0266,152.2277,61.6078,7.555e-18,6.346e-18,3.045e-18,48.5828,-1579.42
FrontDG0358,181.7845,64.3498,2.655e-17,2.063e-17,8.864e-18,84.6424,-981.24
FrontDG0359,181.9029,64.4374,2.485e-17,1.781e-17,8.809e-18,65.3623,-981.08
FrontDG0360,182.0253,64.4787,3.393e-17,3.115e-17,1.081e-17,66.8327,-981.46
FrontDG0361,181.9233,64.3672,2.619e-17,2.046e-17,8.823e-18,79.1566,-981.34
FrontDG0421,146.3888,118.5026,4.627e-17,3.662e-17,1.394e-17,175.6749,-1261.35
FrontDG0422,146.2789,118.343,1.219e-17,9.911e-18,5.187e-18,100.4472,-1261.7
FrontDG0423,146.4565,117.9522,1.464e-17,1.227e-17,5.333e-18,49.3897,-1261.05
FrontDG0424,146.6745,118.8369,1.722e-17,1.398e-17,6.152e-18,50.8399,-1261.3
FrontDG0425,146.4247,118.5606,1.17e-17,9.962e-18,4.272e-18,112.1817,-1261.27
FrontDG0426,146.5694,118.8829,1.689e-17,1.356e-17,5.698e-18,53.7111,-1261.44
FrontDG0427,146.1177,118.0546,1.538e-17,1.415e-17,6.604e-18,63.6175,-1261.27
FrontDG0428,146.3889,118.9721,1.661e-17,1.137e-17,5.408e-18,55.0233,-1261.55
FrontDG0429,146.5428,118.3543,1.202e-17,9.212e-18,4.245e-18,91.1452,-1261.35
FrontDG0430,146.4197,118.4004,1.219e-17,9.073e-18,4.133e-18,126.9507,-1261.24
FrontDG0431,145.9626,118.1689,2.243e-17,1.939e-17,7.286e-18,51.394,-1261.08
FrontDG0432,146.9029,118.2545,1.738e-17,1.393e-17,6.352e-18,61.4214,-1261.33
FrontDG0433,146.313,119.0221,1.588e-17,1.321e-17,5.318e-18,52.2749,-1261.5
FrontDG0434,145.923,118.5411,1.628e-17,1.315e-17,5.723e-18,47.3223,-1261.38
FrontDG0435,146.5094,118.7813,1.752e-17,1.487e-17,6.414e-18,69.9929,-1261.24
FrontDG0436,146.6443,118.6146,1.905e-17,1.435e-17,6.862e-18,69.5445,-1261.62
FrontDG0437,146.4069,118.8546,1.768e-17,1.429e-17,6.385e-18,61.1282,-1261.35
FrontDG0438,146.1072,118.2312,1.553e-17,1.541e-17,6.335e-18,42.5635,-1261.25
FrontDG0439,146.5259,118.7748,1.641e-17,1.377e-17,6.71e-18,61.2314,-1261.3
FrontDG0440,146.1071,118.2857,1.129e-17,9.802e-18,3.794e-18,93.7354,-1261.34
FrontDG0441,146.1485,118.8753,1.819e-17,1.448e-17,7.28e-18,55.2394,-1261.54
FrontDG0442,146.8871,118.7495,1.613e-17,1.26e-17,5.916e-18,62.1842,-1261.55
FrontDG0443,146.5268,118.3465,1.647e-17,1.343e-17,6.044e-18,62.9748,-1261.66
FrontDG0444,145.8881,118.3583,1.753e-17,1.452e-17,6.485e-18,67.4244,-1260.96
FrontDG0476,182.9858,103.9182,1.121e-17,9.066e-18,4.839e-18,52.6032,-1595.07
FrontDG0477,183.0164,103.939,1.105e-17,8.59e-18,3.874e-18,50.3554,-1594.83
FrontDG0478,173.6892,81.3447,1.704e-17,1.369e-17,5.466e-18,45.773,-1501.08
FrontDG0479,173.6933,81.2515,8.25e-18,7.154e-18,2.983e-18,49.3554,-1501.01
FrontDG0520,156.3234,61.7807,2.922e-17,2.474e-17,8.21e-18,167.6285,-1625.31
FrontDG0521,156.1837,61.7846,7.725e-18,5.651e-18,2.93e-18,53.2166,-1625.2
FrontDG0522,156.2486,61.9005,1.011e-17,8.45e-18,3.934e-18,37.6627,-1625.06
FrontDG0523,156.5422,61.7756,1.029e-17,8.45e-18,3.808e-18,40.4369,-1625.31
FrontDG0524,156.5072,61.6832,9.278e-18,8.519e-18,3.796e-18,44.6493,-1625.15
FrontDG0525,156.4456,61.9723,9.332e-18,7.977e-18,3.854e-18,38.1662,-1625.39
FrontDG0526,156.2009,61.65,9.963e-18,8.023e-18,3.499e-18,39.2621,-1625.46
FrontDG0527,156.4338,61.8797,1.18e-17,8.21e-18,3.998e-18,49.3131,-1625.22
FrontDG0528,156.2712,61.8712,1.015e-17,8.594e-18,4.653e-18,50.4235,-1624.99
FrontDG0529,156.4511,61.9248,1.084e-17,9.108e-18,4.359e-18,48.0301,-1625.34
FrontDG0530,150.7635,56.812,1.139e-17,9.173e-18,4.06e-18,110.0636,-1220.45
FrontDG0531,150.7322,56.9945,1.511e-17,1.283e-17,6.078e-18,53.7415,-1221.0
FrontDG0532,150.6002,56.6948,2.314e-17,2.161e-17,7.671e-18,63.65,-1220.78
FrontDG0533,150.7437,56.787,1.632e-17,1.265e-17,6.392e-18,58.2514,-1220.61
FrontDG0534,150.5642,56.7413,1.531e-17,1.361e-17,6.3e-18,50.1363,-1220.63
