"Unnamed: 0" Name X Y BlueF GreenF RedF Size RadialVelocity Radius
117 FrontDG0748 -13.1851 1.466 3.472e-17 2.788e-17 1.004e-17 110.8627 -1450.33 69.3187748681509
119 FrontDG0750 -13.393 1.5519 1.395e-17 1.109e-17 5.335e-18 58.0064 -1450.15 69.3187748681509
120 FrontDG0751 -13.1662 1.6005 9.65e-18 7.159e-18 3.387e-18 58.349 -1450.18 69.3187748681509
121 FrontDG0752 -13.0931 1.2652 1.219e-17 1.04e-17 4.524e-18 43.1328 -1450.32 69.3187748681509
122 FrontDG0753 -13.0681 1.4259 1.279e-17 1.059e-17 4.672e-18 51.586 -1450.52 69.3187748681509
123 FrontDG0754 -13.1775 1.4356 9.199e-18 8.756e-18 4.286e-18 88.6325 -1450.17 69.3187748681509
124 FrontDG0755 -13.1357 1.576 1.242e-17 1.062e-17 4.904e-18 69.0399 -1450.63 69.3187748681509
125 FrontDG0756 -13.2957 1.5735 1.244e-17 1.156e-17 4.367e-18 47.9479 -1450.57 69.3187748681509
126 FrontDG0757 -12.9847 1.3652 1.209e-17 1.032e-17 4.693e-18 46.5307 -1450.23 69.3187748681509
127 FrontDG0758 -12.9873 1.4879 1.229e-17 1.218e-17 5.317e-18 57.6576 -1450.38 69.3187748681509
128 FrontDG0759 -13.2307 1.6636 1.409e-17 1.159e-17 5.593e-18 56.6448 -1450.2 69.3187748681509
129 FrontDG0760 -13.1971 1.4151 1.368e-17 1.147e-17 5.655e-18 50.9941 -1450.39 69.3187748681509
