"Unnamed: 0" Name X Y BlueF GreenF RedF Size RadialVelocity Radius
52 BackDG0199 -26.992 -22.5793 4.357e-17 3.666e-17 1.218e-17 134.4327 -1337.74 19.414802032104266
53 BackDG0200 -26.9727 -22.593 1.477e-17 1.322e-17 5.93e-18 48.9533 -1337.7 19.414802032104266
54 BackDG0201 -27.0127 -22.7293 1.744e-17 1.338e-17 5.665e-18 63.2807 -1337.88 19.414802032104266
55 BackDG0202 -27.0779 -22.7265 1.568e-17 1.333e-17 5.937e-18 56.6419 -1338.06 19.414802032104266
56 BackDG0203 -27.1642 -22.4889 1.51e-17 1.433e-17 6.233e-18 74.1574 -1337.97 19.414802032104266
57 BackDG0204 -27.0306 -22.6957 2.017e-17 1.868e-17 7.333e-18 62.4337 -1337.64 19.414802032104266
58 BackDG0205 -26.9075 -22.551 1.648e-17 1.348e-17 5.714e-18 46.5539 -1337.76 19.414802032104266
59 BackDG0206 -27.0952 -22.5018 1.459e-17 1.234e-17 5.618e-18 42.7084 -1338.0 19.414802032104266
60 BackDG0207 -27.1849 -22.6776 1.163e-17 9.166e-18 4.39e-18 66.9296 -1338.05 19.414802032104266
61 BackDG0208 -27.1006 -22.4522 1.567e-17 1.324e-17 5.781e-18 53.8722 -1337.89 19.414802032104266
