"Unnamed: 0" Name X Y BlueF GreenF RedF Size RadialVelocity Radius
142 BackDG0571 16.4642 3.7392 3.733e-17 2.874e-17 1.122e-17 156.693 -1350.53 41.29752153695561
143 BackDG0572 16.3498 3.7213 1.425e-17 1.054e-17 4.479e-18 42.2127 -1350.45 41.29752153695561
144 BackDG0573 16.5512 3.7368 1.314e-17 1.067e-17 4.751e-18 48.5911 -1350.4 41.29752153695561
145 BackDG0574 16.5177 3.7218 1.42e-17 1.279e-17 5.693e-18 52.2802 -1350.09 41.29752153695561
146 BackDG0575 16.1831 3.6386 1.88e-17 1.6e-17 6.801e-18 52.0014 -1350.64 41.29752153695561
147 BackDG0576 16.5306 3.7994 2.102e-17 1.61e-17 5.877e-18 55.5104 -1350.57 41.29752153695561
148 BackDG0577 16.5759 3.8941 1.308e-17 1.093e-17 5.119e-18 56.9797 -1350.5 41.29752153695561
149 BackDG0578 16.4818 3.5852 9.824e-18 7.871e-18 3.54e-18 58.2822 -1350.77 41.29752153695561
150 BackDG0579 16.4997 3.5851 1.026e-17 8.751e-18 3.877e-18 80.7229 -1350.72 41.29752153695561
151 BackDG0580 16.5242 3.6893 1.382e-17 1.08e-17 4.636e-18 45.5208 -1350.26 41.29752153695561
152 BackDG0581 16.5701 3.5524 1.36e-17 1.21e-17 5.589e-18 64.3559 -1350.71 41.29752153695561
153 BackDG0582 16.3246 3.5818 1.302e-17 9.86e-18 5.254e-18 51.5916 -1350.39 41.29752153695561
154 BackDG0583 16.4078 3.6731 1.273e-17 1.097e-17 5.387e-18 53.04 -1350.68 41.29752153695561
155 BackDG0584 16.315 3.8041 1.034e-17 8.066e-18 3.757e-18 62.0444 -1350.13 41.29752153695561
156 BackDG0585 16.5181 3.5889 1.437e-17 1.066e-17 4.926e-18 38.0162 -1350.13 41.29752153695561
157 BackDG0586 16.7292 3.7715 1.09e-17 7.998e-18 3.978e-18 60.5785 -1350.61 41.29752153695561
