"Unnamed: 0" Name X Y BlueF GreenF RedF Size RadialVelocity Radius
167 BackDG0634 41.8701 -34.2491 2.976e-17 2.306e-17 7.729e-18 127.8351 -1629.24 30.270002444335375
168 BackDG0635 41.9268 -34.387 8.743e-18 6.528e-18 3.407e-18 81.6973 -1629.33 30.270002444335375
169 BackDG0636 42.0173 -34.2374 1.075e-17 7.729e-18 3.959e-18 43.7107 -1629.33 30.270002444335375
170 BackDG0637 41.7713 -34.1856 7.585e-18 6.061e-18 2.325e-18 123.3072 -1629.55 30.270002444335375
173 BackDG0640 41.8198 -34.4128 9.424e-18 8.384e-18 3.72e-18 40.8715 -1629.39 30.270002444335375
174 BackDG0641 41.999 -34.661 1.239e-17 1.02e-17 4.426e-18 54.7183 -1629.5 30.270002444335375
180 BackDG0647 42.1425 -34.4965 7.102e-18 6.085e-18 2.831e-18 100.071 -1629.39 30.270002444335375
181 BackDG0648 42.068 -34.1173 6.507e-18 5.799e-18 2.866e-18 89.9083 -1629.43 30.270002444335375
184 BackDG0651 41.7181 -34.4811 1.067e-17 9.133e-18 4.366e-18 46.5009 -1629.28 30.270002444335375
187 BackDG0654 41.8187 -34.4434 1.175e-17 9.381e-18 4.362e-18 50.0318 -1629.13 30.270002444335375
190 BackDG0657 42.2103 -34.419 1.213e-17 9.759e-18 4.424e-18 50.627 -1629.18 30.270002444335375
193 BackDG0660 42.2046 -34.1742 1.059e-17 8.973e-18 3.686e-18 46.9863 -1629.5 30.270002444335375
