Name,X,Y,BlueF,GreenF,RedF,Size,RadialVelocity
LeftDG0168,-30.8473,10.6417,6.467e-18,5.824e-18,2.639e-18,91.1796,-1600.83
LeftDG0169,-30.8057,10.5355,1.082e-17,8.922e-18,3.811e-18,41.5873,-1600.49
LeftDG0170,-30.7041,10.6026,1.042e-17,8.566e-18,3.685e-18,40.5087,-1600.63
LeftDG0171,-30.8068,10.7549,9.690e-18,7.755e-18,3.808e-18,41.9535,-1600.52
LeftDG0172,-30.7105,10.5521,9.999e-18,8.512e-18,3.966e-18,36.0098,-1600.71
LeftDG0173,-30.7637,10.5743,1.408e-17,1.334e-17,4.875e-18,48.0013,-1600.68
LeftDG0174,-30.7354,10.6334,9.963e-18,8.443e-18,3.836e-18,41.948,-1600.74
LeftDG0213,23.1771,41.8177,9.958e-18,8.719e-18,3.908e-18,67.7471,-1357.44
LeftDG0214,23.2298,41.8619,1.549e-17,1.132e-17,4.902e-18,49.6608,-1357.39
LeftDG0215,23.2374,41.8172,1.139e-17,9.649e-18,3.531e-18,80.6776,-1357.48
LeftDG0216,-4.5155,34.9602,5.241e-17,3.942e-17,1.363e-17,172.694,-1121.96
LeftDG0217,-4.5084,35.1125,1.317e-17,1.169e-17,4.908e-18,72.4354,-1121.54
LeftDG0218,-4.7435,35.1696,2.076e-17,1.615e-17,7.628e-18,66.9114,-1122.13
LeftDG0219,-4.7936,35.0148,1.987e-17,1.615e-17,6.485e-18,49.5959,-1121.83
LeftDG0220,-4.6544,35.0663,1.824e-17,1.605e-17,6.866e-18,75.7907,-1121.91
LeftDG0221,-4.5439,34.8930,2.807e-17,2.000e-17,8.255e-18,50.9015,-1121.63
LeftDG0222,-4.2309,35.1139,1.915e-17,1.750e-17,6.894e-18,75.4179,-1121.8
LeftDG0223,-4.5286,34.6727,1.858e-17,1.463e-17,6.652e-18,59.8504,-1121.69
LeftDG0224,-4.1956,35.0133,1.848e-17,1.586e-17,6.849e-18,65.0903,-1122.23
LeftDG0225,-4.7081,35.2345,1.850e-17,1.607e-17,6.945e-18,51.6822,-1121.9
LeftDG0226,-4.9214,35.1113,1.806e-17,1.571e-17,7.161e-18,57.6827,-1121.82
LeftDG0227,-4.2615,35.0819,1.740e-17,1.493e-17,6.628e-18,56.5258,-1121.85
LeftDG0228,-4.3833,34.9943,1.722e-17,1.578e-17,6.131e-18,54.5243,-1122.15
LeftDG0311,16.9614,-34.3821,9.405e-18,7.761e-18,3.402e-18,63.2562,-1384.95
LeftDG0312,-28.7509,39.8361,6.539e-18,5.527e-18,2.520e-18,115.5185,-1691.29
LeftDG0313,-28.8622,39.6573,9.998e-18,8.111e-18,3.986e-18,48.6493,-1691.06
LeftDG0314,-28.6808,39.7844,9.231e-18,9.019e-18,4.186e-18,46.0348,-1690.92
LeftDG0315,-28.8251,39.8147,1.101e-17,9.185e-18,4.284e-18,51.0838,-1691.09
LeftDG0316,-28.7709,39.9723,9.589e-18,7.686e-18,3.711e-18,43.0146,-1691.18
LeftDG0317,-28.8359,39.8102,9.564e-18,7.921e-18,3.462e-18,38.8745,-1691.34
LeftDG0318,-28.6892,40.0378,1.083e-17,8.190e-18,3.472e-18,36.312,-1691.44
LeftDG0319,-28.8303,40.0029,9.443e-18,8.720e-18,3.847e-18,37.2492,-1690.76
LeftDG0320,-28.5861,39.7401,1.014e-17,8.500e-18,3.638e-18,45.8834,-1691.31
LeftDG0411,34.0254,-18.6577,3.554e-17,2.940e-17,9.424e-18,141.8677,-1402.95
LeftDG0412,34.1471,-18.8094,9.059e-18,7.049e-18,3.653e-18,60.1029,-1403.33
LeftDG0413,34.0366,-18.7520,1.234e-17,1.049e-17,4.924e-18,47.0304,-1403.45
LeftDG0414,34.2641,-18.7835,1.289e-17,1.036e-17,5.427e-18,65.0303,-1403.28
LeftDG0415,33.9289,-18.7003,1.467e-17,1.097e-17,4.953e-18,65.6366,-1403.29
LeftDG0416,33.8472,-18.8509,1.833e-17,1.428e-17,5.751e-18,52.419,-1403.26
LeftDG0417,34.1978,-18.6135,1.232e-17,1.049e-17,4.601e-18,46.1335,-1403.47
LeftDG0418,34.0207,-18.4769,1.287e-17,1.179e-17,5.067e-18,56.7043,-1403.41
LeftDG0419,34.2429,-18.8157,9.230e-18,8.334e-18,3.391e-18,58.2286,-1403.62
LeftDG0420,33.8015,-18.8128,1.267e-17,1.061e-17,4.303e-18,49.1652,-1403.18
LeftDG0469,-4.0309,41.2889,1.086e-17,9.351e-18,3.910e-18,56.6842,-1247.3
LeftDG0587,13.9656,-24.3229,3.142e-17,2.492e-17,1.102e-17,111.7125,-713.88
LeftDG0588,-8.8813,43.6495,1.127e-17,9.058e-18,4.711e-18,54.0025,-1565.38
LeftDG0589,-8.9007,43.7155,1.165e-17,9.536e-18,4.298e-18,43.8255,-1565.23
LeftDG0594,-4.4224,-20.0923,8.475e-18,6.238e-18,2.892e-18,93.6029,-1544.19
LeftDG0595,-4.4212,-20.1899,1.172e-17,9.368e-18,4.559e-18,48.95,-1544.14
LeftDG0596,-4.4931,-20.1275,1.584e-17,1.247e-17,4.866e-18,49.1393,-1544.18
LeftDG0597,-4.5408,-20.1597,9.188e-18,8.878e-18,3.964e-18,45.7632,-1544.06
LeftDG0598,-4.3157,-20.1534,9.994e-18,7.975e-18,4.162e-18,45.689,-1543.99
LeftDG0599,-4.3044,-20.0676,1.100e-17,8.805e-18,4.141e-18,40.7621,-1544.41
LeftDG0600,-4.4027,-20.1699,1.566e-17,1.242e-17,5.587e-18,49.4025,-1544.49
LeftDG0601,-4.3290,-20.1599,1.163e-17,1.015e-17,4.838e-18,47.9066,-1544.27
LeftDG0725,37.9219,-15.0927,9.216e-18,8.083e-18,3.417e-18,211.9493,-1323.52
LeftDG0726,37.7600,-14.8541,2.137e-17,1.645e-17,7.347e-18,57.1842,-1323.81
LeftDG0727,38.1759,-15.0385,1.383e-17,1.164e-17,5.542e-18,51.2481,-1323.84
LeftDG0728,38.0526,-15.0283,1.471e-17,1.215e-17,5.684e-18,51.2313,-1324.09
LeftDG0729,37.6705,-15.1405,1.516e-17,1.268e-17,5.625e-18,59.5664,-1323.88
LeftDG0730,37.9213,-15.0793,1.613e-17,1.315e-17,6.089e-18,58.6063,-1323.62
LeftDG0731,38.0233,-15.1090,1.396e-17,1.130e-17,5.865e-18,53.8659,-1323.88
LeftDG0732,37.7535,-14.9024,1.496e-17,1.336e-17,6.928e-18,56.3069,-1323.83
LeftDG0733,37.8619,-14.9588,1.688e-17,1.476e-17,5.969e-18,54.749,-1323.56
LeftDG0761,-4.1132,-43.9374,9.212e-18,8.021e-18,3.547e-18,57.1035,-1388.16
LeftDG0772,-15.3318,21.0745,2.711e-17,2.282e-17,1.010e-17,78.3578,-1004.5
LeftDG0773,-15.4118,20.9450,2.578e-17,2.124e-17,9.239e-18,73.3909,-1004.81
LeftDG0774,-15.4348,21.0278,2.345e-17,1.873e-17,8.100e-18,59.787,-1004.79
LeftDG0810,-15.9171,39.5492,1.077e-17,1.035e-17,4.017e-18,66.798,-1273.43
LeftDG0812,6.8672,21.1520,1.334e-17,9.990e-18,4.645e-18,60.6323,-1172.33
LeftDG0832,-25.4213,-2.4776,5.829e-18,4.873e-18,2.513e-18,106.1459,-1837.25
LeftDG0833,-25.3819,-2.5120,8.174e-18,6.521e-18,2.928e-18,40.3075,-1837.23
LeftDG0834,-25.4531,-2.5062,8.029e-18,7.412e-18,3.416e-18,36.7902,-1837.26
LeftDG0835,-25.5530,-2.5173,7.877e-18,6.988e-18,3.135e-18,38.3677,-1837.37
LeftDG0836,-25.2995,-2.4542,8.290e-18,6.884e-18,3.188e-18,36.8933,-1837.3
LeftDG0837,-25.3556,-2.5776,9.031e-18,7.640e-18,3.250e-18,43.3448,-1837.22
LeftDG0838,-25.3090,-2.4928,8.646e-18,6.794e-18,2.981e-18,30.7954,-1837.1
LeftDG0839,-25.3507,-2.4611,9.311e-18,7.284e-18,3.808e-18,35.9725,-1837.35
LeftDG0909,-14.9654,10.4549,8.761e-18,7.103e-18,3.338e-18,46.0664,-1459.03
LeftDG0910,7.5311,-0.8662,1.535e-17,1.103e-17,5.305e-18,47.2608,-1363.71
LeftDG0911,7.4708,-0.8521,1.959e-17,1.675e-17,6.650e-18,58.033,-1363.92
LeftDG0912,7.5307,-0.9125,1.428e-17,1.191e-17,5.227e-18,52.0508,-1363.76
LeftDG0993,41.8680,7.7156,4.011e-17,3.132e-17,1.007e-17,165.6704,-1416.66
