Name,X,Y,BlueF,GreenF,RedF,Parallax,RadialVelocity,Variable?
LeftS000001,19.9401,-10.9475,1.648e-18,2.428e-18,3.931e-18,-0.0,-130.78,0
LeftS000002,19.9423,-10.9420,8.838e-20,1.002e-19,9.206e-20,0.001,-128.74,0
LeftS000003,19.9501,-10.9482,1.078e-20,1.352e-20,1.597e-20,-0.0,-128.47,0
LeftS000004,19.9330,-10.9365,6.550e-18,5.216e-18,2.462e-18,0.001,-129.03,0
LeftS000005,19.9066,-10.9539,2.159e-18,1.779e-18,9.170e-19,-0.0,-129.27,0
LeftS000007,19.9023,-10.9683,1.400e-19,1.468e-19,1.134e-19,0.001,-129.97,0
LeftS000011,19.9329,-10.9715,4.067e-19,8.276e-19,2.534e-18,0.0,-128.76,0
LeftS000014,19.9422,-10.9908,1.881e-19,1.832e-19,1.293e-19,-0.0,-130.83,0
LeftS000016,19.9415,-10.9586,4.906e-14,3.642e-14,1.451e-14,0.0,-128.82,0
LeftS000017,19.9042,-10.9609,1.459e-18,1.256e-18,6.855e-19,-0.001,-128.76,0
LeftS000018,19.9035,-10.9649,1.497e-18,2.263e-18,3.680e-18,0.0,-130.76,0
LeftS000020,19.9340,-10.9488,4.816e-14,3.512e-14,1.336e-14,0.0,-128.8,0
LeftS000025,19.9399,-10.9872,8.619e-19,1.328e-18,2.361e-18,0.0,-129.06,0
LeftS000030,19.9273,-10.9444,4.584e-14,3.275e-14,1.202e-14,0.0,-130.4,0
LeftS000031,19.8987,-10.9744,2.496e-18,2.133e-18,1.094e-18,0.0,-128.98,0
LeftS000032,19.9350,-10.9660,1.034e-17,8.821e-18,4.592e-18,-0.0,-130.12,0
LeftS000034,19.9048,-10.9611,9.440e-20,1.034e-19,8.538e-20,-0.0,-128.99,0
LeftS000035,19.9371,-10.9442,2.275e-19,2.398e-19,1.931e-19,-0.001,-130.26,0
LeftS000036,19.9334,-10.9657,1.720e-19,1.733e-19,1.242e-19,0.0,-130.14,0
LeftS000037,19.9221,-10.9373,2.668e-14,1.831e-14,6.309e-15,-0.0,-129.47,0
LeftS000039,19.9546,-10.9695,1.628e-18,3.095e-18,8.517e-18,0.0,-129.82,0
LeftS000040,19.8971,-10.9704,2.272e-20,2.778e-20,2.973e-20,0.0,-128.35,0
LeftS000043,19.9211,-10.9539,4.854e-19,1.083e-18,4.222e-18,0.001,-128.67,0
LeftS000046,19.9240,-10.9471,1.398e-18,3.017e-18,1.056e-17,-0.0,-128.72,0
LeftS000047,19.9533,-10.9545,9.661e-19,1.594e-18,3.265e-18,0.0,-129.4,0
LeftS000051,19.9214,-10.9588,2.507e-18,2.193e-18,1.190e-18,-0.0,-129.0,0
LeftS000052,19.9097,-10.9685,2.051e-18,4.466e-18,1.649e-17,0.0,-128.78,0
LeftS000053,19.9252,-10.9661,2.431e-18,2.020e-18,1.019e-18,0.0,-129.37,0
LeftS000054,19.9450,-10.9671,1.754e-18,1.536e-18,8.560e-19,-0.0,-130.01,0
LeftS000055,19.9404,-10.9442,2.686e-19,2.641e-19,1.817e-19,-0.0,-128.61,0
LeftS000061,19.9144,-10.9581,1.261e-19,1.367e-19,1.185e-19,0.0,-129.77,0
LeftS000062,19.9147,-10.9826,5.013e-19,8.340e-19,1.701e-18,-0.0,-128.96,0
LeftS000063,19.9388,-10.9772,2.181e-17,1.681e-17,7.258e-18,-0.0,-128.43,1
LeftS000065,19.9092,-10.9618,7.943e-18,6.379e-18,2.916e-18,-0.0,-129.84,0
LeftS000067,19.9561,-10.9693,5.683e-20,6.423e-20,6.135e-20,-0.0,-128.87,0
LeftS000070,19.9251,-10.9805,4.668e-18,3.588e-18,1.506e-18,0.0,-129.58,0
LeftS000075,19.9163,-10.9760,2.275e-20,2.812e-20,3.184e-20,0.001,-129.46,0
LeftS000077,19.9159,-10.9661,2.403e-18,4.160e-18,9.264e-18,-0.001,-129.78,0
LeftS000078,19.9144,-10.9489,3.403e-19,3.304e-19,2.261e-19,-0.001,-128.91,0
LeftS000079,19.9048,-10.9506,4.136e-19,3.861e-19,2.441e-19,-0.0,-130.48,0
LeftS000081,19.9109,-10.9800,6.889e-20,7.555e-20,6.500e-20,0.0,-128.49,0
LeftS000083,19.9111,-10.9915,2.691e-18,4.527e-18,9.759e-18,-0.001,-129.69,0
LeftS000086,19.9321,-10.9579,7.283e-19,1.263e-18,2.858e-18,0.0,-129.5,0
LeftS000089,19.9438,-10.9767,1.151e-18,2.175e-18,6.042e-18,0.0,-130.48,0
LeftS000090,19.9268,-10.9548,9.354e-20,1.078e-19,1.040e-19,-0.0,-129.79,0
LeftS000091,19.9065,-10.9557,2.647e-14,1.854e-14,6.807e-15,0.001,-130.09,0
LeftS000092,19.9272,-10.9512,3.106e-20,3.811e-20,4.224e-20,0.0,-128.78,0
LeftS000096,19.9249,-10.9339,7.479e-19,6.985e-19,4.455e-19,0.0,-130.51,0
LeftS000101,19.9490,-10.9514,2.738e-19,2.568e-19,1.642e-19,0.0,-130.78,0
LeftS000103,19.9280,-10.9482,1.098e-18,9.796e-19,5.494e-19,0.002,-129.83,0
LeftS000104,19.9203,-10.9721,3.305e-20,3.797e-20,3.623e-20,-0.0,-130.17,0
LeftS000107,19.9287,-10.9300,4.230e-20,4.819e-20,4.533e-20,0.001,-128.82,0
LeftS000108,19.9234,-10.9568,5.846e-19,8.025e-19,1.106e-18,-0.0,-129.18,0
LeftS000109,19.9340,-10.9805,9.203e-20,1.002e-19,8.640e-20,0.0,-130.82,0
LeftS000110,19.9317,-10.9527,2.465e-18,1.986e-18,9.199e-19,-0.001,-128.61,0
LeftS000111,19.9354,-10.9456,5.415e-18,1.539e-17,9.591e-17,-0.0,-129.0,0
LeftS000112,19.9193,-10.9793,6.172e-19,5.864e-19,3.899e-19,0.0,-129.21,0
LeftS000113,19.9082,-10.9707,1.870e-15,3.157e-15,6.493e-15,0.001,-130.71,0
LeftS000114,19.9000,-10.9810,2.984e-18,2.552e-18,1.356e-18,0.0,-130.3,0
LeftS000117,19.9548,-10.9720,3.953e-19,4.003e-19,3.067e-19,0.001,-129.59,0
LeftS000124,19.9021,-10.9408,1.793e-18,1.527e-18,8.074e-19,0.0,-128.87,0
LeftS000126,19.8997,-10.9730,1.115e-17,8.812e-18,3.906e-18,0.0,-129.22,1
LeftS000127,19.8947,-10.9682,4.160e-19,4.013e-19,2.668e-19,0.0,-129.67,0
LeftS000128,19.9109,-10.9736,1.014e-20,1.352e-20,1.789e-20,-0.0,-128.95,0
LeftS000132,19.8980,-10.9743,8.878e-20,9.211e-20,7.314e-20,0.0,-129.14,0
