,level_0,Name,Period,index,Name,X,Y,BlueF,GreenF,RedF,Parallax,RadialVelocity,Variable?,TotalF,AbsMag,Distance
0,4,b'BackS016089',53.313782991202345,27,b'BackS016089',32.1344,30.6783,7.797e-14,6.923e-14,3.892e-14,-0.0,110.17,1,1.8612e-13,-4.3874749696082915,24.328500925997293
1,7,b'BackS016239',53.43915343915343,102,b'BackS016239',32.1954,30.7183,7.076e-14,5.861e-14,2.876e-14,0.0,108.64,1,1.5813e-13,-4.394781410126664,26.219441360821516
2,8,b'BackS016296',56.63551401869159,134,b'BackS016296',32.1774,30.6288,4.231e-14,3.625e-14,1.899e-14,0.001,109.8,1,9.755e-14,-4.581061501099761,26.903900243496526
3,10,b'BackS016466',54.59459459459459,224,b'BackS016466',32.467,30.5334,5.513e-14,4.466e-14,2.04e-14,-0.0,110.13,1,1.2019e-13,-4.462119145714912,27.79592094194755
4,11,b'BackS016602',52.57374204742626,266,b'BackS016602',32.5604,30.8149,8.436e-14,6.422e-14,2.785e-14,-0.0,109.37,1,1.7643e-13,-4.344346264038301,26.545549352266875
5,12,b'BackS016873',54.20393559928444,344,b'BackS016873',31.8637,30.8396,6.268e-14,5.133e-14,2.456e-14,-0.0,108.98,1,1.3857e-13,-4.439352004344289,26.615728986427783
6,13,b'BackS017073',52.57374204742626,413,b'BackS017073',32.614,30.849,7.914e-14,6.059e-14,2.527e-14,0.001,109.97,1,1.65e-13,-4.344346264038301,27.329166826638748
7,14,b'BackS017102',50.81050866405813,426,b'BackS017102',31.9386,30.6157,1.026e-13,9.286e-14,5.28e-14,0.0,109.14,1,2.4826e-13,-4.241587120666537,24.84803785421334
8,15,b'BackS017175',56.919223544145275,445,b'BackS017175',32.4723,30.8245,3.472e-14,2.698e-14,1.151e-14,-0.0,110.22,1,7.321e-14,-4.597595754634788,30.597162287821725
9,16,b'BackS017368',51.73591348890153,493,b'BackS017368',32.4403,31.1818,9.239e-14,7.229e-14,3.153e-14,-0.0,109.63,1,1.9621e-13,-4.295518612645981,26.466808880483267
10,17,b'BackS017385',51.03874227961819,498,b'BackS017385',32.5519,31.0199,1.039e-13,7.779e-14,3.238e-14,-0.0,109.43,1,2.1407000000000002e-13,-4.254888304188137,26.735847918623026
11,18,b'BackS017403',54.3335325762104,505,b'BackS017403',32.078,30.4473,6.204e-14,5.72e-14,3.496e-14,-0.0,109.13,1,1.542e-13,-4.446904761941836,24.99479646676968
12,19,b'BackS017490',54.59459459459459,530,b'BackS017490',31.8853,30.9723,7.858e-14,7.297e-14,4.517e-14,-0.001,110.2,1,1.9672e-13,-4.462119145714912,21.74544272165159
13,20,b'BackS017573',53.06479859894922,551,b'BackS017573',31.6906,30.5392,8.689e-14,6.554e-14,2.799e-14,-0.0,109.05,1,1.8041999999999998e-13,-4.37296445551401,25.42521029545736
14,21,b'BackS017587',52.452394691286784,554,b'BackS017587',31.7134,30.8366,9.214e-14,7.076e-14,3.059e-14,0.0,110.02,1,1.9349e-13,-4.337274284523314,25.495817725348967
15,22,b'BackS017657',52.09169054441261,569,b'BackS017657',31.9459,30.6298,9.72e-14,7.382e-14,3.189e-14,0.001,110.26,1,2.0291000000000002e-13,-4.316252876073895,25.57328634864177
16,23,b'BackS017758',54.46375074895146,595,b'BackS017758',31.9968,30.6491,4.898e-14,3.696e-14,1.557e-14,0.0,110.23,1,1.0151000000000001e-13,-4.454493722092277,30.823869525366156
17,24,b'BackS017774',51.85396463205932,600,b'BackS017774',32.4988,31.2889,8.145e-14,7.317e-14,4.305e-14,-0.0,109.71,1,1.9767e-13,-4.30239849279082,26.099622515467257
18,25,b'BackS017913',50.58430717863105,643,b'BackS017913',32.6281,30.6003,1.044e-13,8.276e-14,3.774e-14,-0.0,109.99,1,2.249e-13,-4.228404367270894,26.72314544312824
19,26,b'BackS018015',54.07495538370018,674,b'BackS018015',32.2701,30.6272,7.592e-14,7.118e-14,4.409e-14,-0.001,109.92,1,1.9119e-13,-4.4318351908638025,22.79834979405916
20,27,b'BackS018048',54.7260686333534,683,b'BackS018048',31.7575,30.0504,6.544e-14,5.226e-14,2.36e-14,0.0,109.9,1,1.413e-13,-4.469781296242413,25.469748067285803
21,28,b'BackS018154',54.46375074895146,712,b'BackS018154',37.4893,34.5948,5.269e-14,3.962e-14,1.657e-14,0.0,112.67,1,1.0888e-13,-4.454493722092277,29.77117004792953
22,29,b'BackS018318',51.38496325607689,758,b'BackS018318',37.3794,34.4643,9.856e-14,8.312e-14,4.148e-14,0.001,113.71,1,2.2315999999999998e-13,-4.275065650700414,25.270533309792143
23,30,b'BackS018383',57.20578980490875,778,b'BackS018383',37.4631,34.3698,3.519e-14,3.339e-14,2.141e-14,0.0,113.86,1,8.999e-14,-4.614296495304213,26.98009924192359
24,32,b'BackS018606',50.471960022209885,864,b'BackS018606',37.4925,34.5465,8.734e-14,6.495e-14,2.678e-14,0.0,113.36,1,1.7907000000000001e-13,-4.2218569086854405,30.39358770991814
25,34,b'BackS018617',53.43915343915343,872,b'BackS018617',37.5385,34.5895,5.701e-14,4.35e-14,1.835e-14,-0.001,112.34,1,1.1885999999999999e-13,-4.394781410126664,30.43439454788228
26,37,b'BackS018698',53.313782991202345,914,b'BackS018698',37.5097,34.603,6.671e-14,5.13e-14,2.184e-14,0.0,112.37,1,1.3985e-13,-4.3874749696082915,28.262061209114854
