Name,X,Y,BlueF,GreenF,RedF,Parallax,RadialVelocity,Variable?
RightS007305,7.5676,2.6536,2.968e-14,2.101e-14,7.608e-15,0.001,-148.74,0
RightS007306,7.6171,2.6539,4.411e-14,4.504e-14,3.325e-14,0.001,-147.76,1
RightS007308,7.5937,2.6672,8.384e-19,1.341e-18,2.520e-18,0.0,-148.39,0
RightS007310,7.5739,2.6675,3.099e-19,3.112e-19,2.245e-19,-0.001,-149.45,0
RightS007311,7.6001,2.6727,3.178e-14,2.295e-14,8.457e-15,0.0,-148.35,0
RightS007312,7.5932,2.6866,5.141e-20,6.180e-20,6.351e-20,0.001,-148.48,0
RightS007316,7.5937,2.6639,6.974e-20,7.771e-20,6.976e-20,-0.0,-149.37,0
RightS007320,7.5920,2.6688,9.656e-19,1.850e-18,5.179e-18,0.001,-148.91,0
RightS007321,7.5794,2.6573,3.610e-18,5.947e-18,1.167e-17,0.001,-148.22,0
RightS007322,7.5840,2.6782,1.477e-17,1.098e-17,4.393e-18,0.001,-149.16,0
RightS007323,7.5985,2.6591,8.520e-20,9.403e-20,8.379e-20,-0.001,-147.1,0
RightS007324,7.5822,2.6523,1.391e-18,1.221e-18,6.818e-19,-0.0,-148.05,0
RightS007325,7.5862,2.6733,1.020e-14,1.347e-14,1.772e-14,-0.0,-147.48,0
RightS007326,7.5940,2.6750,3.831e-14,3.865e-14,2.780e-14,0.0,-148.33,1
RightS007329,7.5807,2.6592,4.823e-20,5.630e-20,5.711e-20,-0.001,-149.02,0
RightS007330,7.5899,2.6810,1.056e-19,1.204e-19,1.106e-19,0.001,-147.64,0
RightS007331,7.5947,2.6551,6.526e-18,5.353e-18,2.689e-18,-0.001,-147.39,0
RightS007332,7.5940,2.6435,2.640e-19,2.754e-19,2.247e-19,0.0,-148.91,0
RightS007333,7.5841,2.6807,4.135e-18,3.309e-18,1.564e-18,-0.0,-149.14,0
RightS007334,7.5956,2.6467,2.253e-20,2.764e-20,2.973e-20,0.0,-147.09,0
RightS007335,7.5797,2.6837,6.291e-20,7.355e-20,7.119e-20,-0.001,-147.08,0
RightS007337,7.6149,2.6716,8.097e-20,9.185e-20,8.315e-20,0.001,-149.57,0
RightS007338,7.6069,2.6489,5.928e-18,4.789e-18,2.244e-18,0.001,-148.75,0
RightS007340,7.6179,2.6545,8.311e-18,6.734e-18,3.314e-18,-0.0,-149.15,0
RightS007341,7.6212,2.6841,1.430e-18,1.302e-18,8.023e-19,0.001,-149.62,0
RightS007343,7.5690,2.6846,1.800e-14,1.228e-14,4.048e-15,0.0,-148.33,0
RightS007344,7.5806,2.6824,1.306e-18,1.136e-18,6.385e-19,0.0,-147.15,0
RightS007347,7.5891,2.6710,6.645e-20,7.017e-20,5.728e-20,-0.0,-148.26,0
RightS007348,7.5940,2.6759,6.171e-18,5.059e-18,2.486e-18,-0.0,-147.28,0
RightS007350,7.5855,2.6738,1.591e-17,1.230e-17,5.139e-18,-0.0,-147.39,1
RightS007351,7.5836,2.6544,2.725e-18,2.305e-18,1.212e-18,0.001,-148.38,0
RightS007352,7.6056,2.6622,5.754e-19,5.657e-19,3.891e-19,-0.001,-148.74,0
RightS007354,7.5706,2.6611,5.716e-19,1.252e-18,4.516e-18,-0.0,-148.57,0
RightS007355,7.5932,2.6611,3.484e-18,3.000e-18,1.609e-18,-0.001,-148.09,0
RightS007356,7.5942,2.6422,1.260e-18,1.131e-18,6.633e-19,0.0,-146.99,0
RightS007358,7.5994,2.6917,4.195e-19,7.822e-19,2.061e-18,-0.0,-149.46,0
RightS007360,7.5829,2.6929,8.586e-20,9.548e-20,8.508e-20,-0.001,-149.56,0
