Name X Y BlueF GreenF RedF Parallax RadialVelocity Variable?
LeftS085553 -1.2061 -14.0958 8.258e-19 8.344e-19 5.988e-19 0.0 -70.58 0
LeftS085556 -1.4291 -13.8972 5.517e-18 1.201e-17 4.196e-17 -0.0 -69.77 0
LeftS085557 -1.3848 -13.9442 1.955e-18 1.825e-18 1.191e-18 0.001 -70.61 0
LeftS085558 -1.3734 -14.1626 1.6440000000000002e-20 2.2270000000000003e-20 3.03e-20 0.001 -69.96 0
LeftS085565 -1.4389 -13.7949 2.36e-18 2.165e-18 1.279e-18 0.0 -71.53 0
LeftS085566 -1.6702 -14.0839 1.058e-17 2.869e-17 1.652e-16 -0.0 -70.82 0
LeftS085569 -1.4193 -13.9631 2.325e-19 2.551e-19 2.261e-19 0.0 -70.56 0
LeftS085570 -1.4407 -14.0247 2.411e-20 3.279e-20 4.307e-20 0.0 -70.14 0
LeftS085572 -1.1921 -13.773 5.953e-19 6.125e-19 4.741e-19 0.0 -70.76 0
LeftS085573 -1.2244 -14.2846 2.022e-18 1.858e-18 1.105e-18 -0.0 -69.76 0
LeftS085576 -1.4761 -13.7109 7.904e-14 5.922e-14 2.354e-14 -0.0 -70.86 0
LeftS085579 -1.3388 -13.6472 3.368e-18 6.185e-18 1.586e-17 -0.001 -70.22 0
LeftS085589 -1.3732 -14.0064 1.313e-20 1.896e-20 2.9360000000000004e-20 -0.0 -71.39 0
LeftS085593 -1.2604 -14.0396 4.069e-19 4.392e-19 3.764e-19 -0.0 -70.09 0
LeftS085595 -1.6568 -14.2681 1.113e-19 1.267e-19 1.171e-19 0.0 -70.78 0
LeftS085596 -1.3711 -13.8299 8.443000000000001e-20 9.740000000000001e-20 9.604e-20 -0.0 -71.38 0
LeftS085601 -1.3138 -13.8467 4.729e-18 6.942e-18 1.079e-17 -0.0 -69.7 0
LeftS085606 -1.4278 -13.8535 1.244e-18 1.211e-18 8.086e-19 0.0 -70.25 0
LeftS085609 -1.1097 -13.9691 1.952e-19 2.162e-19 1.904e-19 0.0 -70.22 0
LeftS085614 -1.3135 -13.716 2.416e-18 5.039e-18 1.679e-17 0.0 -70.62 0
LeftS085615 -1.5815 -14.0364 7.753e-19 7.509e-19 5.22e-19 0.001 -71.49 0
LeftS085616 -1.4064 -13.8562 7.644e-20 9.425e-20 1.071e-19 -0.0 -69.8 0
LeftS085619 -1.2177 -13.7918 2.5270000000000003e-20 3.4620000000000003e-20 4.773e-20 -0.0 -69.8 0
LeftS085620 -1.3412 -13.9925 1.306e-20 1.884e-20 2.9720000000000003e-20 0.0 -70.63 0
LeftS085623 -1.6175 -14.1519 8.606e-14 5.903e-14 2.023e-14 -0.001 -71.39 0
