Name X Y BlueF GreenF RedF Parallax RadialVelocity Variable?
BackS082201 -42.9255 13.5453 1.286e-20 1.6540000000000003e-20 1.965e-20 -0.0 -73.69 0
BackS082206 -42.9547 13.5445 4.145e-14 3.222e-14 1.38e-14 -0.0 -73.71 1
BackS082209 -42.9283 13.5418 3.065e-18 2.396e-18 1.091e-18 -0.0 -73.07 0
BackS082211 -42.9334 13.5455 5.671e-14 5.346e-14 3.336e-14 -0.001 -73.19 1
BackS082215 -42.9327 13.5753 1.659e-20 2.0020000000000003e-20 2.187e-20 -0.0 -75.12 0
BackS082216 -42.9869 13.5104 8.591e-20 9.323e-20 7.960000000000002e-20 0.001 -73.46 0
BackS082221 -42.9243 13.5005 2.577e-19 2.512e-19 1.734e-19 0.0 -72.8 0
BackS082223 -42.9348 13.5638 2.475e-14 1.731e-14 6.261e-15 0.001 -75.16 0
BackS082225 -42.933 13.4527 6.120000000000001e-20 7.172000000000001e-20 7.320000000000001e-20 -0.0 -73.03 0
BackS082227 -42.9372 13.5601 6.567e-19 1.297e-18 3.759e-18 -0.0 -74.9 0
BackS082234 -42.9599 13.5858 1.5160000000000003e-20 1.9820000000000003e-20 2.452e-20 0.0 -74.91 0
BackS082237 -42.9365 13.532 3.896e-19 3.748e-19 2.583e-19 0.0 -72.93 0
BackS082239 -42.9221 13.5598 3.447e-19 3.386e-19 2.416e-19 0.001 -74.73 0
BackS082248 -42.9435 13.5663 1.956e-20 2.407e-20 2.667e-20 -0.0 -74.87 0
BackS082250 -42.9278 13.557 6.357e-20 6.961e-20 5.870000000000001e-20 0.0 -74.96 0
BackS082254 -42.9376 13.5507 1.855e-18 2.978e-18 5.71e-18 0.0 -73.42 0
BackS082260 -42.9291 13.559 7.268e-19 1.192e-18 2.431e-18 -0.001 -75.08 0
BackS082262 -42.9311 13.5503 1.364e-18 1.224e-18 7.228e-19 -0.001 -74.18 0
BackS082274 -42.9253 13.5501 1.446e-20 1.893e-20 2.3410000000000003e-20 -0.001 -74.32 0
BackS082276 -42.9286 13.5214 5.0140000000000005e-20 5.712e-20 5.3730000000000005e-20 -0.001 -72.94 0
BackS082277 -43.0149 13.6274 8.299e-20 9.154e-20 8.285e-20 0.001 -74.57 0
BackS082278 -42.9188 13.5258 2.518e-19 2.505e-19 1.871e-19 0.0 -73.15 0
BackS082281 -42.9237 13.5402 9.435e-20 1.082e-19 1.031e-19 -0.001 -73.06 0
BackS082284 -42.9312 13.5557 5.772e-20 6.853e-20 7.087e-20 -0.0 -74.67 0
BackS082286 -42.9263 13.5298 3.966e-20 4.6610000000000005e-20 4.74e-20 0.001 -72.84 0
BackS082288 -42.9472 13.5637 4.68e-19 8.737e-19 2.221e-18 -0.0 -74.45 0
BackS082289 -42.9277 13.5419 7.226e-19 6.613e-19 3.901e-19 -0.0 -73.07 0
BackS082290 -42.9878 13.519 6.845000000000001e-20 7.569e-20 6.702000000000001e-20 -0.001 -73.51 0
BackS082294 -42.9434 13.529 2.713e-20 3.118e-20 3.0600000000000005e-20 0.0 -73.22 0
BackS082304 -42.9338 13.6178 4.931e-19 4.859e-19 3.219e-19 -0.001 -75.16 0
BackS082309 -42.928 13.55 2.194e-18 6.167e-18 3.826e-17 0.0 -76.63 0
BackS082315 -42.8685 13.5121 1.433e-19 1.427e-19 1.05e-19 0.001 -73.76 0
BackS082319 -42.9482 13.5583 2.891e-20 3.662e-20 4.2190000000000006e-20 0.0 -74.32 0
BackS082320 -42.8927 13.4806 1.171e-18 1.974e-18 4.297e-18 -0.001 -73.2 0
BackS082322 -42.9226 13.6175 1.794e-18 3.303e-18 8.113e-18 -0.0 -75.11 0
BackS082324 -42.8108 13.575 5.2350000000000005e-20 6.096000000000001e-20 6.077e-20 0.0 -74.3 0
BackS082325 -42.8829 13.446 1.5240000000000002e-20 1.922e-20 2.218e-20 0.001 -73.12 0
BackS082326 -42.9286 13.5493 2.2130000000000003e-20 2.8730000000000005e-20 3.5520000000000003e-20 -0.0 -73.62 0
BackS082333 -42.9328 13.5515 2.85e-19 2.858e-19 2.04e-19 0.0 -75.16 0
BackS082335 -42.9351 13.5518 7.667e-20 9.235000000000001e-20 9.261e-20 0.001 -75.23 0
BackS082338 -42.9538 13.5675 4.23e-18 7.124e-18 1.569e-17 -0.0 -74.4 0
BackS082340 -42.9482 13.5423 1.3650000000000002e-20 1.7780000000000003e-20 2.193e-20 0.001 -73.59 0
BackS082341 -42.9697 13.5378 2.088e-19 2.089e-19 1.52e-19 0.001 -73.7 0
BackS082342 -42.8464 13.5187 1.756e-19 1.9e-19 1.663e-19 -0.001 -73.88 0
BackS082350 -42.9545 13.5555 4.436e-20 5.347e-20 5.761e-20 0.001 -74.03 0
BackS082358 -42.9192 13.5502 1.144e-20 1.621e-20 2.363e-20 0.001 -74.61 0
BackS082360 -43.0143 13.5052 1.882e-19 1.87e-19 1.335e-19 0.001 -73.55 0
BackS082362 -42.9237 13.6198 1.335e-18 2.619e-18 7.583e-18 -0.001 -75.18 0
BackS082371 -42.9156 13.5006 2.702e-20 3.3440000000000004e-20 3.814e-20 0.0 -72.91 0
