Name X Y BlueF GreenF RedF Parallax RadialVelocity Variable?
FrontS103778 15.0131 10.2762 9.887e-20 1.679e-19 3.794e-19 0.001 0.18 0
FrontS103779 13.9536 9.1224 1.971e-17 2.117e-17 1.758e-17 -0.0 -0.01 0
FrontS103780 13.9141 9.0431 1.643e-20 3.258e-20 1.008e-19 0.0 0.07 0
FrontS103781 13.8512 8.9949 3.412e-18 3.938e-18 3.983e-18 0.0 -0.03 0
FrontS103783 15.2056 10.2748 4.14e-20 7.053000000000001e-20 1.507e-19 0.001 0.35 0
FrontS103784 15.1793 10.1984 7.097e-12 5.704e-12 2.603e-12 0.0 0.15 1
FrontS103785 13.8239 9.2015 2.122e-14 1.489e-14 5.171e-15 -0.0 -0.11 0
FrontS103787 13.8026 9.2911 7.317e-16 5.776e-16 2.625e-16 -0.0 -0.16 0
FrontS103788 13.7516 9.3076 4.325e-17 4.121e-17 2.653e-17 0.0 -0.06 0
FrontS103789 15.3491 10.1661 1.053e-16 9.593e-17 5.711e-17 -0.0 0.4 0
FrontS103791 15.4523 10.1408 2.995e-17 2.997e-17 2.158e-17 -0.0 0.55 0
FrontS103792 15.3749 9.9831 1.468e-19 2.496e-19 5.247e-19 0.0 0.53 0
FrontS103793 13.5879 9.2722 7.819e-16 1.614e-15 5.164e-15 0.001 -0.23 0
FrontS103794 13.6142 9.3477 1.479e-19 2.29e-19 4.014e-19 0.0 -0.3 0
FrontS103795 15.4755 9.951 5.178e-18 6.511e-18 7.72e-18 0.001 0.7 0
FrontS103796 13.5437 9.5299 1.156e-16 1.057e-16 6.474e-17 -0.001 -0.48 0
FrontS103797 13.5792 9.4225 1.598e-16 1.396e-16 7.817e-17 0.002 -0.4 0
FrontS103799 13.5662 9.4816 8.258e-17 1.168e-16 1.67e-16 0.001 -0.39 0
FrontS103800 15.5532 9.7709 1.007e-15 7.868e-16 3.496e-16 0.001 0.86 0
FrontS103801 13.4442 9.4478 3.62e-16 2.983e-16 1.409e-16 0.001 -0.42 0
FrontS103802 13.3921 9.5305 2.544e-16 4.317e-16 9.296e-16 0.001 -0.46 0
FrontS103803 15.5804 9.7486 1.307e-16 1.173e-16 7.128e-17 0.0 0.84 0
FrontS103804 15.6233 9.5876 1.635e-16 2.814e-16 6.066e-16 -0.0 0.92 0
FrontS103805 13.4405 9.6554 7.388000000000001e-20 1.291e-19 3.063e-19 0.0 -0.54 0
FrontS103807 15.6832 9.6301 2.859e-15 2.153e-15 8.766e-16 0.001 0.8 1
FrontS103808 13.3319 9.7136 2.762e-18 3.564e-18 4.316e-18 0.001 -0.61 0
FrontS103809 13.3809 9.8017 2.176e-14 1.472e-14 4.897e-15 -0.0 -0.54 0
FrontS103810 15.6478 9.5234 5.482e-15 4.096e-15 1.703e-15 0.001 0.84 0
FrontS103811 15.7381 9.5065 8.541e-17 7.759e-17 4.721e-17 -0.0 0.93 0
FrontS103812 15.7732 9.3741 1.493e-15 1.169e-15 5.236e-16 0.001 0.94 1
FrontS103813 13.3513 9.911 1.686e-16 2.849e-16 6.375e-16 0.001 -0.62 0
FrontS103814 13.3782 9.9106 3.554e-17 3.496e-17 2.535e-17 0.0 -0.6 0
FrontS103815 15.755 9.407 1.219e-15 9.315e-16 4.104e-16 0.0 0.87 1
FrontS103816 13.264 10.0419 2.395e-16 4.749e-16 1.48e-15 0.001 -0.67 0
FrontS103817 15.7696 9.2443 9.29e-17 1.31e-16 1.955e-16 0.0 1.01 0
FrontS103818 15.6526 9.299 3.737e-16 3.274e-16 1.848e-16 0.001 0.95 0
FrontS103821 13.1944 10.2477 2.14e-16 1.917e-16 1.134e-16 0.0 -0.76 0
FrontS103822 13.2936 10.2314 3.429e-18 3.977e-18 3.748e-18 0.0 -0.73 0
FrontS103824 13.2537 10.3378 2.391e-17 2.659e-17 2.346e-17 0.0 -0.83 0
FrontS103826 13.3314 10.3458 2.505e-15 1.889e-15 7.654e-16 0.001 -0.71 1
FrontS103827 15.4626 9.0863 5.789e-18 6.791e-18 6.887e-18 -0.0 0.99 0
FrontS103829 15.5032 8.9852 3.046e-18 3.669e-18 3.894e-18 0.0 1.07 0
FrontS103830 15.7516 8.7689 1.295e-14 9.156e-15 3.37e-15 0.0 1.06 0
FrontS103831 13.3343 10.5468 1.083e-16 1.641e-16 2.849e-16 0.001 -0.71 0
FrontS103832 13.3194 10.56 2.342e-16 2.062e-16 1.111e-16 0.0 -0.75 0
FrontS103833 15.4902 8.8432 7.927e-15 5.859e-15 2.323e-15 0.0 0.93 0
FrontS103834 13.3957 10.6196 8.604e-16 7.004e-16 3.279e-16 0.001 -0.75 0
FrontS103835 15.6223 8.6561 1.153e-14 8.066e-15 2.815e-15 0.0 1.03 0
FrontS106746 0.4633 1.7681 1.039e-17 2.779e-17 1.571e-16 0.05 0.09 0
FrontS106747 10.4322 -0.8364 1.749e-13 1.946e-13 1.734e-13 0.05 1.44 0
FrontS106750 -35.1596 15.018 9.572e-17 2.375e-16 1.138e-15 0.131 -2.46 0
FrontS106754 3.2231 -1.4091 7.704e-18 1.997e-17 1.045e-16 0.048 0.48 0
FrontS106755 -0.1053 4.12 1.662e-17 4.186e-17 2.116e-16 0.053 -0.0 0
FrontS106756 -17.3388 -0.2297 8.408e-17 1.659e-16 4.862e-16 0.038 -1.48 0
FrontS106757 -30.1204 -2.5746 1.765e-16 3.37e-16 9.136e-16 0.035 -1.85 0
FrontS106758 -20.4966 1.7991 9.618e-14 1.13e-13 1.101e-13 0.049 -2.0 0
FrontS106759 -28.8822 1.1274 5.463e-16 9.055e-16 1.869e-15 0.03 -1.65 0
FrontS106760 0.3196 -6.9059 2.768e-14 3.678e-14 4.585e-14 0.05 0.03 0
FrontS106761 -1.2588 -2.5788 1.183e-16 2.556e-16 9.322e-16 0.062 -2.09 0
FrontS106762 7.8872 -3.2369 2.122e-11 1.63e-11 7.084e-12 0.053 1.31 0
FrontS106763 -1.3867 0.3027 2.826e-17 6.566e-17 2.757e-16 0.071 -0.43 0
FrontS106766 -17.749 -1.9778 8.156e-17 1.662e-16 5.195e-16 0.04 -1.61 0
FrontS106768 -5.6504 3.5359 1.121e-15 2.278e-15 6.949e-15 0.075 -1.06 0
FrontS106769 -22.688 1.2908 1.602e-13 1.74e-13 1.472e-13 0.05 -2.14 0
FrontS106770 -9.0462 -6.9143 1.178e-13 1.376e-13 1.365e-13 0.051 -1.44 0
FrontS106771 -6.9734 3.5189 1.211e-11 1.129e-11 6.929e-12 0.11 -0.77 0
FrontS106773 21.9263 -2.1932 9.537e-16 1.757e-15 4.642e-15 0.069 2.23 0
