Name X Y BlueF GreenF RedF Parallax RadialVelocity Variable?
BackS016039 32.1967 30.6554 2.162e-20 2.844e-20 3.62e-20 -0.001 -109.59 1
BackS016043 32.159 30.6115 8.697000000000001e-20 1.004e-19 9.699e-20 0.0 -110.29 0
BackS016044 32.1582 30.6891 7.982e-18 6.393e-18 2.979e-18 0.0 -108.94 0
BackS016050 32.1994 30.687 1.821e-20 2.5720000000000003e-20 3.834e-20 -0.001 -108.95 0
BackS016051 32.1127 30.6622 6.196e-20 7.033e-20 6.458e-20 0.001 -110.74 0
BackS016052 32.2527 30.6253 2.681e-17 1.986e-17 8.227e-18 0.0 -110.19 1
BackS016053 32.1776 30.6265 6.959000000000001e-20 8.088e-20 7.674e-20 -0.0 -110.17 0
BackS016054 32.1361 30.6268 4.083e-17 2.96e-17 1.12e-17 -0.001 -110.3 0
BackS016056 32.203 30.6129 2.683e-19 2.617e-19 1.83e-19 0.001 -109.52 0
BackS016057 32.1695 30.5957 1.755e-18 2.792e-18 5.137e-18 0.001 -110.11 0
BackS016058 32.209 30.6777 1.936e-17 1.481e-17 6.266e-18 0.001 -109.66 1
BackS016059 32.2525 30.7036 2.854e-18 2.419e-18 1.235e-18 -0.001 -110.5 0
BackS016060 32.1931 30.7213 3.776e-18 3.106e-18 1.517e-18 0.0 -108.72 0
BackS016061 32.2018 30.6848 1.526e-20 1.9440000000000003e-20 2.279e-20 -0.0 -108.99 0
BackS016062 32.2076 30.6263 1.379e-19 1.466e-19 1.161e-19 -0.0 -110.22 0
BackS016065 32.1192 30.6112 1.291e-18 1.964e-18 3.357e-18 0.0 -109.75 0
BackS016066 32.2073 30.6031 2.749e-18 4.813e-18 1.127e-17 -0.001 -110.64 0
BackS016068 32.139 30.6521 3.11e-17 2.307e-17 8.818e-18 0.0 -110.63 0
BackS016070 32.1879 30.6891 1.879e-17 1.45e-17 6.301e-18 -0.0 -109.78 1
BackS016071 32.2859 30.7037 3.062e-20 3.8110000000000006e-20 4.388e-20 -0.0 -108.68 0
BackS016074 32.1655 30.6744 2.928e-17 2.285e-17 9.762e-18 0.001 -108.91 0
BackS016075 32.2474 30.646 5.726e-18 4.735e-18 2.314e-18 -0.0 -108.76 0
BackS016078 32.1575 30.6263 6.315e-19 9.805e-19 1.732e-18 0.0 -108.69 0
BackS016079 32.21 30.7195 1.517e-18 1.345e-18 7.542e-19 -0.0 -109.9 0
BackS016080 32.1833 30.7519 7.065e-18 9.903e-18 1.425e-17 -0.0 -109.74 0
BackS016082 32.207 30.6861 3.043e-18 2.508e-18 1.185e-18 -0.0 -109.41 0
BackS016086 32.1705 30.6404 5.395e-19 5.256e-19 3.591e-19 0.001 -110.09 0
BackS016089 32.1344 30.6783 7.797e-14 6.923e-14 3.892e-14 -0.0 -110.17 1
BackS016091 32.1538 30.6584 2.429e-17 1.82e-17 7.69e-18 -0.0 -109.48 1
BackS016094 32.2128 30.6747 3.892e-18 3.319e-18 1.754e-18 -0.0 -109.58 0
BackS016095 32.1971 30.6761 6.666e-19 1.063e-18 2.087e-18 -0.0 -108.6 0
BackS016096 32.2895 30.7209 2.964e-19 3.057e-19 2.318e-19 -0.001 -110.65 0
BackS016099 32.2059 30.7326 3.332e-20 3.974e-20 4.0740000000000006e-20 0.001 -109.13 0
BackS016100 32.2346 30.6667 1.552e-20 1.984e-20 2.295e-20 0.0 -110.5 0
BackS016101 32.1615 30.6751 5.652e-18 4.502e-18 2.046e-18 -0.0 -109.78 0
BackS016104 32.2385 30.6454 1.881e-18 1.648e-18 9.083e-19 0.001 -108.93 0
BackS016106 32.1718 30.5904 9.24e-19 8.083e-19 4.602e-19 -0.0 -109.64 0
BackS016109 32.2023 30.7344 1.965e-20 2.56e-20 3.2670000000000005e-20 0.0 -109.28 0
BackS016110 32.27 30.6724 9.985e-19 1.689e-18 3.694e-18 0.0 -110.41 0
BackS016115 32.174 30.6534 1.539e-20 1.993e-20 2.4200000000000003e-20 -0.0 -109.18 0
BackS016116 32.137 30.6701 1.43e-18 1.262e-18 7.173e-19 -0.001 -110.11 0
BackS016117 32.2101 30.6805 4.587e-20 5.3080000000000013e-20 5.335e-20 0.0 -110.81 0
BackS016118 32.195 30.7049 6.897e-18 5.52e-18 2.56e-18 0.0 -109.35 0
BackS016120 32.1698 30.669 1.108e-18 1.108e-18 7.936e-19 0.0 -110.24 0
BackS016121 32.1881 30.7532 2.213e-18 2.012e-18 1.206e-18 0.0 -109.1 0
BackS016122 32.2078 30.7023 1.937e-19 2.034e-19 1.614e-19 -0.0 -108.83 0
BackS016123 32.1833 30.6741 4.198e-19 4.171e-19 2.995e-19 -0.0 -108.74 0
BackS016124 32.1761 30.6576 2.012e-18 3.363e-18 7.155e-18 0.0 -108.96 0
