Name Equat Polar BlueF GreenF RedF Parallax RadialVelocity Variable?
BottomS061904 259.2704 139.3531 4.902e-18 4.205e-18 2.291e-18 -0.0 -97.71 0
BottomS061905 259.5598 140.3958 2.242e-20 3.07e-20 4.1850000000000005e-20 -0.0 -98.3 0
BottomS061906 259.7869 139.3999 1.338e-19 1.543e-19 1.535e-19 0.0 -98.36 0
BottomS061908 258.9518 139.7977 5.3510000000000006e-20 6.686000000000001e-20 7.744e-20 0.001 -98.56 0
BottomS061913 259.182 139.9168 5.288e-18 4.623e-18 2.476e-18 -0.0 -97.7 0
BottomS061920 258.9063 139.9309 2.691e-18 2.42e-18 1.458e-18 -0.0 -98.65 0
BottomS061923 259.1706 140.1797 1.343e-17 2.313e-17 4.926e-17 0.0 -98.43 0
BottomS061924 259.8677 139.8702 3.459e-19 3.635e-19 2.988e-19 0.0 -98.47 0
BottomS061927 259.4102 139.636 3.2120000000000005e-20 4.1420000000000006e-20 5.058e-20 -0.0 -97.65 0
BottomS061929 260.5534 140.0035 2.424e-20 3.265e-20 4.383e-20 0.001 -98.07 0
BottomS061934 258.9231 139.8567 9.079e-18 8.083e-18 4.49e-18 -0.001 -98.56 0
BottomS061935 260.341 139.83 1.224e-15 4.528e-15 4.873e-14 -0.001 -98.08 0
BottomS061936 258.8437 139.7224 1.053e-18 1.025e-18 7.079e-19 -0.0 -98.66 0
BottomS061938 258.993 140.3307 9.444e-20 1.14e-19 1.22e-19 0.001 -98.12 0
BottomS061939 258.8806 139.6542 2.724e-18 2.341e-18 1.286e-18 -0.0 -98.56 0
BottomS061942 259.6373 140.5318 6.050000000000001e-20 7.462000000000001e-20 8.387e-20 0.0 -98.41 0
BottomS061944 260.4201 140.51 1.645e-20 2.457e-20 4.181e-20 -0.0 -98.46 0
BottomS061945 258.7481 139.7712 4.67e-20 5.762000000000001e-20 6.475000000000001e-20 0.001 -98.2 0
BottomS061952 259.6878 140.2458 2.5820000000000003e-20 3.635e-20 5.334e-20 0.001 -97.87 0
BottomS061955 260.1486 139.9388 1.055e-17 1.654e-17 3.189e-17 -0.0 -98.91 0
BottomS061958 259.439 139.6166 2.527e-18 3.701e-18 5.591e-18 0.0 -97.73 0
BottomS061962 259.4673 140.148 1.094e-19 1.336e-19 1.438e-19 0.0 -98.8 0
BottomS061963 259.1092 139.8169 2.509e-19 2.791e-19 2.519e-19 -0.001 -98.67 0
BottomS061964 258.801 139.9645 2.672e-18 2.51e-18 1.601e-18 0.0 -98.14 0
BottomS061967 258.8734 140.2121 4.51e-19 4.724e-19 3.906e-19 0.0 -98.39 0
BottomS061969 258.3702 139.5519 6.172e-19 6.655e-19 5.503e-19 0.001 -98.09 0
BottomS061973 259.5078 139.9851 2.576e-20 3.472e-20 4.538e-20 -0.001 -98.22 0
BottomS061974 258.8581 140.1263 1.459e-20 2.287e-20 4.1080000000000006e-20 -0.0 -98.9 0
BottomS061975 259.1467 139.8528 7.886e-18 1.782e-17 6.87e-17 -0.0 -97.58 0
BottomS061977 259.6716 140.3962 2.902e-18 4.676e-18 9.198e-18 0.001 -98.25 0
BottomS061982 259.2611 139.7554 9.059e-20 1.14e-19 1.322e-19 -0.001 -98.51 0
BottomS061986 259.1984 139.8852 8.022000000000001e-20 9.734e-20 1.06e-19 0.001 -98.93 0
BottomS061990 260.0685 139.7672 2.803e-18 2.562e-18 1.513e-18 0.001 -98.87 0
BottomS061991 259.8767 139.8553 6.137e-20 7.666000000000001e-20 8.456000000000001e-20 0.0 -98.14 0
BottomS061992 258.7266 139.4169 1.559e-20 2.2990000000000003e-20 3.754e-20 -0.001 -97.64 0
BottomS061993 260.1731 139.9619 5.045e-19 5.598e-19 5.009e-19 0.0 -97.67 0
BottomS061994 259.6205 140.1081 6.438e-19 6.534e-19 5.021e-19 0.001 -98.76 0
BottomS061996 259.6146 139.8332 6.544e-18 1.23e-17 3.391e-17 0.0 -98.17 0
BottomS062001 259.6027 139.8548 2.3820000000000003e-20 3.3630000000000005e-20 4.734e-20 0.001 -98.8 0
BottomS062002 259.8557 140.0033 2.498e-18 4.34e-18 9.795e-18 0.0 -97.93 0
BottomS062003 259.6546 139.482 6.491e-14 4.487e-14 1.495e-14 0.001 -98.79 0
BottomS062005 259.0318 139.8072 1.075e-18 1.056e-18 7.541e-19 -0.0 -98.78 0
BottomS062007 259.2242 139.9814 1.4930000000000002e-20 2.0920000000000003e-20 2.995e-20 0.0 -98.58 0
BottomS062011 259.5604 140.1217 2.426e-18 2.182e-18 1.281e-18 0.0 -97.91 0
BottomS062014 258.6334 140.1769 1.725e-20 2.587e-20 4.348e-20 0.001 -98.53 0
BottomS062016 258.6527 139.6905 4.4330000000000006e-20 6.011e-20 8.244000000000001e-20 0.0 -97.77 0
BottomS062020 260.6968 140.1862 5.3490000000000014e-20 7.4e-20 1.052e-19 0.001 -97.76 0
BottomS062021 259.6998 139.638 6.466e-18 5.646e-18 2.991e-18 0.0 -97.96 0
BottomS062026 258.7257 139.3864 5.687e-18 1.158e-17 3.681e-17 -0.0 -97.82 0
BottomS062027 259.1417 140.2207 3.5100000000000004e-20 4.6470000000000006e-20 6.077e-20 -0.001 -97.83 0
BottomS062032 258.6109 139.779 8.939e-18 7.43e-18 3.657e-18 0.001 -97.84 0
BottomS062038 259.4351 139.6504 3.79e-19 4.237e-19 3.872e-19 -0.001 -98.48 0
BottomS062042 258.9721 140.2441 3.636e-20 5.042e-20 7.05e-20 -0.0 -97.91 0
BottomS062043 259.8378 139.8643 3.548e-20 4.5370000000000005e-20 5.462e-20 0.001 -97.97 0
BottomS062044 259.3266 139.5199 3.644e-18 3.458e-18 2.248e-18 -0.0 -98.72 0
BottomS062045 259.2934 139.903 1.587e-20 2.295e-20 3.6740000000000005e-20 0.001 -97.69 0
BottomS062046 260.1302 139.7543 6.714000000000001e-20 8.542e-20 1.019e-19 0.0 -97.95 0
BottomS062048 259.8256 139.9831 2.436e-18 4.3e-18 9.966e-18 0.0 -97.78 0
BottomS062049 259.5363 139.8124 2.901e-18 5.768e-18 1.713e-17 0.001 -98.57 0
BottomS062051 259.5469 139.5599 1.921e-19 2.188e-19 2.058e-19 -0.0 -98.17 0
BottomS062053 259.53 139.7081 1.512e-20 2.1920000000000003e-20 3.3230000000000004e-20 -0.0 -98.65 0
BottomS062054 259.1236 139.5851 2.263e-13 1.835e-13 8.57e-14 0.001 -97.93 1
BottomS062067 259.1533 139.201 1.4100000000000002e-20 2.135e-20 3.525e-20 0.001 -98.64 0
BottomS062068 259.5197 140.0365 2.515e-18 4.573e-18 1.096e-17 0.001 -97.93 0
BottomS062070 259.2235 140.5835 3.564e-18 6.056e-18 1.322e-17 -0.0 -98.81 0
BottomS062074 259.0747 139.5847 2.119e-18 3.532e-18 7.384e-18 0.0 -98.96 0
BottomS062079 259.6749 139.7465 3.3930000000000003e-20 4.6750000000000005e-20 6.636e-20 -0.0 -98.78 0
BottomS062080 259.6618 139.9514 3.118e-18 2.943e-18 1.914e-18 0.0 -97.66 0
BottomS062082 260.547 140.1011 1.135e-20 1.666e-20 2.5850000000000004e-20 -0.0 -98.5 0
BottomS062085 259.5402 139.6188 1.606e-17 1.352e-17 6.787e-18 -0.001 -98.57 0
BottomS062090 259.8919 139.9826 1.714e-19 2.059e-19 2.213e-19 0.001 -98.46 0
BottomS062099 258.8489 140.3319 4.7710000000000006e-20 6.684000000000001e-20 9.442e-20 0.0 -99.0 0
BottomS062102 259.2917 139.7557 1.563e-18 1.524e-18 1.075e-18 0.0 -98.14 0
BottomS062109 260.0811 139.7754 1.6170000000000002e-20 2.172e-20 2.823e-20 0.001 -98.67 0
BottomS062113 260.1065 139.7257 3.099e-18 2.7e-18 1.494e-18 -0.0 -98.19 0
BottomS062114 259.0983 139.6167 1.721e-20 2.474e-20 3.693e-20 0.0 -97.94 0
BottomS062116 259.7038 140.0937 2.869e-20 4.104e-20 6.2e-20 0.0 -97.71 0
BottomS062118 259.7637 139.2087 2.613e-18 2.398e-18 1.445e-18 0.001 -97.68 0
BottomS062123 259.511 140.1626 1.081e-20 1.681e-20 3.0460000000000005e-20 -0.0 -98.96 0
BottomS062125 259.0778 139.8793 3.275e-18 3.002e-18 1.738e-18 0.0 -98.69 0
BottomS062126 258.8651 139.7958 3.636e-20 4.921e-20 6.635e-20 0.0 -98.26 0
BottomS062129 259.5572 139.7215 5.1240000000000005e-20 6.632000000000001e-20 8.152000000000001e-20 0.001 -98.31 0
BottomS062139 260.4535 140.2861 1.798e-19 2.173e-19 2.385e-19 0.0 -98.21 0
BottomS062140 259.378 140.0354 3.878e-17 9.515e-17 4.395e-16 0.0 -97.53 0
BottomS062141 260.0745 139.9212 1.217e-19 1.424e-19 1.432e-19 -0.0 -98.83 0
BottomS062143 259.5444 139.5304 1.674e-17 3.549e-17 1.229e-16 0.0 -98.94 0
BottomS062144 258.8654 140.2786 4.505e-19 4.803e-19 4.005e-19 0.0 -98.31 0
BottomS062145 259.6866 139.8525 3.742e-18 7.419e-18 2.143e-17 0.001 -98.24 0
BottomS062147 259.4955 140.5711 6.28e-18 1.209e-17 3.342e-17 0.0 -98.1 0
BottomS062156 259.2318 139.6381 2.5170000000000003e-20 3.6120000000000005e-20 5.424e-20 -0.001 -97.89 0
BottomS062158 258.7969 139.4724 4.523e-18 7.636e-18 1.653e-17 0.001 -98.5 0
BottomS062159 258.8075 140.3713 1.553e-19 1.884e-19 1.991e-19 -0.0 -97.83 0
BottomS062164 259.2109 140.292 1.901e-19 2.113e-19 1.918e-19 -0.0 -98.32 0
BottomS062166 259.5717 140.0098 6.5e-19 6.532e-19 4.875e-19 0.0 -97.64 0
BottomS062169 258.9126 139.9172 1.859e-18 1.762e-18 1.14e-18 -0.001 -98.48 0
BottomS062170 259.2347 139.8248 4.485e-18 4.257e-18 2.682e-18 0.0 -98.38 0
BottomS062172 258.8246 139.7839 3.407e-19 3.853e-19 3.533e-19 0.001 -98.43 0
BottomS062173 259.6672 139.9673 4.063e-19 4.368e-19 3.555e-19 -0.001 -98.67 0
BottomS062178 259.5179 139.7797 2.905e-19 3.222e-19 2.879e-19 0.0 -98.62 0
BottomS062180 259.4716 140.3771 1.655e-19 1.981e-19 2.041e-19 0.0 -97.68 0
BottomS062182 259.3596 139.9126 1.521e-20 2.277e-20 3.714e-20 -0.001 -98.72 0
BottomS062183 259.1616 139.9381 7.145e-18 1.603e-17 5.908e-17 -0.0 -99.02 0
BottomS062184 258.4595 140.1389 1.705e-20 2.419e-20 3.602e-20 -0.0 -98.15 0
BottomS062185 259.8938 139.6703 2.481e-14 1.627e-14 5.002e-15 -0.001 -98.6 0
BottomS062186 258.7867 140.1483 2.787e-20 3.6940000000000006e-20 4.711e-20 0.001 -98.13 0
BottomS062190 259.3395 140.0822 3.373e-18 3.22e-18 2.086e-18 -0.001 -97.93 0
BottomS062191 258.865 139.8901 3.859e-19 4.249e-19 3.646e-19 -0.0 -98.74 0
BottomS062193 259.7114 140.3544 8.422e-19 1.679e-18 5.147e-18 0.0 -98.9 0
BottomS062194 259.2682 140.4783 4.0950000000000005e-20 5.411e-20 6.943000000000001e-20 0.0 -97.9 0
BottomS062197 258.8949 140.479 9.823e-20 1.159e-19 1.197e-19 0.0 -97.62 0
BottomS062202 258.7141 139.6953 3.285e-18 2.828e-18 1.529e-18 0.001 -98.93 0
BottomS062204 258.1008 139.7425 4.066e-18 8.212e-18 2.416e-17 -0.0 -98.09 0
BottomS062207 259.0657 139.9105 5.14e-20 6.643e-20 8.037e-20 0.0 -98.86 0
BottomS062208 258.989 140.1627 2.5470000000000004e-20 3.738e-20 5.908e-20 0.0 -97.65 0
BottomS062217 258.9807 140.3743 4.2950000000000005e-20 5.448e-20 6.473000000000001e-20 -0.001 -98.08 0
BottomS062218 258.7061 139.801 3.9770000000000006e-20 5.0390000000000007e-20 5.724e-20 -0.0 -97.92 0
BottomS062219 259.3966 139.6764 6.584e-14 4.539e-14 1.545e-14 -0.001 -97.93 0
BottomS062220 258.4419 139.9503 2.57e-18 2.23e-18 1.253e-18 -0.001 -98.02 0
BottomS062228 259.1507 139.8701 4.3780000000000005e-20 5.735e-20 7.092e-20 0.0 -98.73 0
BottomS062230 259.3395 140.4442 1.646e-18 1.509e-18 9.052e-19 0.001 -98.07 0
BottomS062231 258.7434 140.3532 5.415e-20 6.892000000000001e-20 8.072e-20 0.0 -98.37 0
BottomS062234 259.4084 140.0866 1.312e-19 1.571e-19 1.687e-19 0.0 -98.45 0
BottomS062239 259.1679 139.2766 2.039e-18 2.82e-18 3.877e-18 0.0 -98.84 0
BottomS062245 259.8179 139.7164 3.199e-18 4.691e-18 7.26e-18 -0.001 -98.64 0
