Name X Y BlueF GreenF RedF Parallax RadialVelocity Variable?
RightS072711 -4.703 38.406 8.635e-20 9.36e-20 8.032e-20 -0.0 -92.44 0
RightS072716 -4.7644 38.4266 3.395e-20 4.2e-20 4.7010000000000007e-20 0.0 -92.23 0
RightS072717 -4.7388 38.3975 3.988e-19 3.85e-19 2.68e-19 -0.0 -92.22 0
RightS072719 -4.7839 38.4254 1.2910000000000002e-20 1.819e-20 2.6410000000000003e-20 -0.001 -90.74 0
RightS072736 -4.7701 38.4402 3.388e-18 2.898e-18 1.511e-18 -0.0 -90.71 0
RightS072738 -4.7653 38.4147 2.079e-20 2.5240000000000003e-20 2.782e-20 0.001 -91.78 0
RightS072739 -4.7468 38.4147 1.677e-20 2.0850000000000003e-20 2.402e-20 -0.001 -92.38 0
RightS072740 -4.7641 38.3996 7.631e-19 7.199e-19 4.49e-19 0.0 -92.38 0
RightS072743 -4.7762 38.3996 9.437e-19 8.89e-19 5.762e-19 0.0 -91.45 0
RightS072744 -4.7515 38.462 1.617e-18 1.44e-18 8.231e-19 0.0 -92.0 0
RightS072746 -4.7886 38.4167 2.031e-20 2.4720000000000003e-20 2.719e-20 0.0 -90.8 0
RightS072748 -4.7849 38.4022 1.13e-19 1.242e-19 1.073e-19 -0.0 -91.18 0
RightS072749 -4.7471 38.43 1.236e-18 2.051e-18 4.181e-18 0.0 -92.49 0
RightS072750 -4.7651 38.4225 1.4850000000000002e-20 2.0680000000000003e-20 3.0190000000000004e-20 0.0 -91.55 0
RightS072751 -4.7582 38.4435 1.046e-20 1.438e-20 1.983e-20 -0.0 -92.23 0
RightS072753 -4.7701 38.4178 1.674e-19 1.804e-19 1.482e-19 0.0 -91.48 0
RightS072754 -4.7866 38.4098 7.490000000000001e-20 8.506000000000001e-20 7.806000000000001e-20 0.0 -90.46 0
RightS072755 -4.7939 38.4137 5.647e-19 5.634e-19 3.92e-19 0.0 -90.44 0
RightS072757 -4.7638 38.4223 9.65e-18 7.805e-18 3.738e-18 0.0 -91.78 0
RightS072759 -4.7787 38.4487 4.384e-19 8.696e-19 2.586e-18 0.001 -90.54 0
RightS072760 -4.7939 38.4426 8.372e-19 7.763e-19 4.872e-19 0.0 -90.54 0
RightS072761 -4.7818 38.4378 4.718e-18 4.137e-18 2.246e-18 0.0 -90.81 0
RightS072762 -4.7482 38.4137 3.132e-20 4.196e-20 5.339e-20 0.001 -92.35 0
RightS072763 -4.7924 38.437 1.201e-19 1.28e-19 1.041e-19 0.0 -90.4 0
RightS072765 -4.778 38.437 3.572e-19 3.814e-19 3.065e-19 0.0 -90.46 0
RightS072767 -4.7821 38.4359 2.608e-18 4.18e-18 7.855e-18 0.0 -90.82 0
RightS072768 -4.7924 38.3808 1.758e-18 1.59e-18 9.618e-19 -0.0 -90.94 0
RightS072769 -4.7502 38.4039 1.318e-19 1.444e-19 1.267e-19 -0.0 -92.47 0
RightS072770 -4.8005 38.4639 8.67e-20 9.846e-20 9.093e-20 0.001 -90.17 0
RightS072771 -4.7802 38.4303 6.894e-19 1.207e-18 2.73e-18 -0.001 -90.43 0
RightS072773 -4.7998 38.4462 2.783e-18 5.394e-18 1.463e-17 0.001 -90.24 0
RightS072774 -4.7978 38.4063 2.2300000000000003e-20 2.761e-20 3.028e-20 -0.0 -90.24 0
RightS072775 -4.7718 38.4412 5.6e-20 6.977e-20 7.659000000000001e-20 0.001 -91.09 0
RightS072779 -4.7886 38.4318 3.735e-18 3.28e-18 1.758e-18 -0.0 -90.48 0
RightS072783 -4.7485 38.4182 1.152e-18 1.066e-18 6.531e-19 0.0 -92.41 0
RightS072787 -4.7734 38.4272 3.521e-19 3.366e-19 2.294e-19 -0.0 -91.08 0
RightS072788 -4.7786 38.4394 3.224e-19 3.292e-19 2.546e-19 0.0 -90.95 0
RightS072789 -4.7833 38.4486 1.879e-18 1.678e-18 9.698e-19 -0.0 -90.78 0
RightS072790 -4.7556 38.4359 7.106e-14 5.03e-14 1.845e-14 -0.001 -91.59 0
RightS072792 -4.7586 38.4161 1.784e-18 1.603e-18 9.139e-19 -0.001 -92.01 0
RightS072794 -4.8024 38.4556 5.002e-20 6.212e-20 6.841e-20 0.0 -90.32 0
RightS072795 -4.7444 38.4291 1.901e-18 1.71e-18 9.816e-19 -0.0 -92.16 0
RightS072796 -4.7879 38.3929 3.72e-19 3.61e-19 2.587e-19 0.0 -90.81 0
RightS072803 -4.7896 38.4114 7.15e-19 1.187e-18 2.394e-18 0.001 -90.96 0
RightS072804 -4.7623 38.4409 6.951e-17 5.137e-17 2.099e-17 0.001 -91.8 0
RightS072805 -4.7655 38.3977 1.049e-19 1.259e-19 1.377e-19 -0.0 -92.38 0
RightS072810 -4.7737 38.4067 3.768e-20 4.6270000000000005e-20 5.21e-20 -0.001 -91.83 0
RightS072811 -4.7738 38.4493 2.676e-19 2.869e-19 2.326e-19 -0.0 -90.37 0
RightS072813 -4.7353 38.3915 3.0130000000000004e-20 3.961e-20 5.1570000000000006e-20 0.0 -92.37 0
RightS072814 -4.7862 38.4487 7.827000000000001e-20 9.389000000000001e-20 9.828e-20 0.0 -90.37 0
RightS072816 -4.7886 38.4343 3.901e-18 5.662e-18 8.543e-18 0.0 -90.92 0
RightS072817 -4.7745 38.4399 1.085e-18 1.507e-18 2.139e-18 -0.0 -91.07 0
RightS072819 -4.7464 38.3865 2.862e-18 4.388e-18 7.534e-18 0.0 -92.18 0
RightS072820 -4.7949 38.4063 1.244e-18 2.11e-18 4.615e-18 -0.0 -90.55 0
RightS072821 -4.7655 38.4626 6.019000000000001e-20 6.762e-20 6.311e-20 -0.0 -91.22 0
RightS072822 -4.7832 38.4328 7.457e-19 7.063e-19 4.464e-19 -0.0 -90.97 0
RightS072823 -4.7973 38.4177 1.394e-20 1.7550000000000002e-20 2.026e-20 0.0 -90.6 0
