Name X Y BlueF GreenF RedF Parallax RadialVelocity Variable?
RightS098018 -38.3763 1.585 4.21e-18 4.903e-18 4.783e-18 0.0 5.96 0
RightS098019 -35.6295 2.3426 5.521e-12 3.778e-12 1.331e-12 -0.0 3.29 0
RightS098021 -35.8121 2.2867 1.558e-16 2.787e-16 6.783e-16 0.001 3.25 0
RightS098022 -35.5139 2.3249 4.642e-15 3.299e-15 1.181e-15 0.0 3.23 0
RightS098023 -38.5259 1.5687 4.327e-15 3.147e-15 1.216e-15 0.001 5.95 0
RightS098024 -38.7446 1.4852 8.317e-20 1.408e-19 3.105e-19 0.001 6.01 0
RightS098026 -35.7163 2.3198 9.533e-18 1.033e-17 8.981e-18 0.001 3.24 0
RightS098027 -38.699 1.5185 3.319e-18 4.114e-18 4.612e-18 0.0 6.0 0
RightS098028 -38.4294 1.5875 1.503e-18 1.941e-18 2.395e-18 0.001 6.01 0
RightS098029 -38.4457 1.5987 8.293e-16 2.349e-15 1.507e-14 0.001 6.0 0
RightS098030 -38.708 1.5515 6.233e-15 4.661e-15 1.895e-15 -0.001 5.99 0
RightS098031 -38.8087 1.4882 2.716e-17 2.876e-17 2.327e-17 0.001 6.01 0
RightS098033 -35.6683 2.2858 1.217e-18 1.619e-18 2.022e-18 0.0 3.24 0
RightS098035 -38.7035 1.5922 9.28e-17 8.788e-17 5.559e-17 -0.0 6.01 0
RightS098036 -38.5888 1.5815 1.968e-15 1.509e-15 6.187e-16 0.001 5.97 1
RightS098037 -38.5155 1.6058 5.769e-18 7.241e-18 8.028e-18 0.001 5.97 0
RightS098038 -38.6917 1.5875 1.548e-18 2.143e-18 2.953e-18 0.0 6.0 0
RightS098040 -35.4735 2.2694 2.963e-12 2.012e-12 6.815e-13 0.001 3.26 0
RightS098041 -35.4877 2.2597 1.712e-16 2.692e-16 5.064e-16 0.001 3.26 0
RightS098042 -35.5046 2.2491 6.388e-17 5.951e-17 3.743e-17 0.001 3.28 0
RightS098043 -38.3805 1.6471 2.153e-18 2.692e-18 3.105e-18 0.001 5.89 0
RightS098044 -35.4456 2.2938 1.38e-15 1.019e-15 4.045e-16 0.001 3.28 0
RightS098046 -35.6891 2.1705 8.249e-16 6.594e-16 3.02e-16 0.001 3.35 0
RightS098047 -35.6315 2.21 2.962e-16 2.534e-16 1.342e-16 0.0 3.36 0
RightS098049 -35.6634 2.1888 2.275e-14 1.568e-14 5.413e-15 0.0 3.42 0
RightS098050 -38.6328 1.6689 7.852e-17 7.201e-17 4.559e-17 0.0 5.77 0
RightS098052 -35.6781 2.2038 7.434e-15 5.36e-15 2.008e-15 0.001 3.49 0
RightS098053 -38.5363 1.6859 3.105e-16 2.55e-16 1.236e-16 -0.0 5.68 0
RightS098054 -35.5647 2.2129 5.735e-19 8.39e-19 1.33e-18 -0.0 3.44 0
RightS098055 -38.4373 1.7474 1.811e-16 2.647e-16 4.23e-16 0.001 5.65 0
RightS098056 -35.7704 2.1913 1.06e-16 9.544e-17 5.733e-17 -0.0 3.58 0
RightS098057 -38.1814 1.7673 7.221e-18 7.94e-18 6.916e-18 0.001 5.54 0
RightS098058 -38.293 1.7571 2.983e-15 2.273e-15 9.461e-16 -0.0 5.51 1
RightS098059 -38.3946 1.7529 3.569e-16 3.018e-16 1.584e-16 0.0 5.54 0
RightS098060 -38.0908 1.8267 1.719e-16 1.542e-16 8.74e-17 0.0 5.45 0
RightS098061 -38.1644 1.7944 3.554e-16 7.994e-16 3.104e-15 0.0 5.42 0
RightS098062 -35.859 2.0634 6.062e-18 7.063e-18 7.079e-18 -0.0 3.71 0
RightS098064 -36.0983 2.0522 1.122e-16 1.587e-16 2.325e-16 0.002 3.87 0
RightS098065 -38.1359 1.8432 3.379e-18 4.082e-18 4.342e-18 0.001 5.38 0
RightS098067 -37.7805 1.9211 1.252e-16 1.163e-16 7.089e-17 0.001 5.11 0
RightS098068 -37.8113 1.9345 1.852e-16 3.29e-16 7.641e-16 0.001 5.1 0
