Name X Y BlueF GreenF RedF Parallax RadialVelocity Variable?
BottomS062433 8.0725 -37.2223 5.0190000000000006e-20 6.1e-20 6.684000000000001e-20 0.0 -98.3 0
BottomS062436 6.5832 -36.5962 3.831e-18 7.979e-18 2.638e-17 -0.0 -97.62 0
BottomS062439 6.8147 -37.0389 2.09e-18 3.126e-18 5.056e-18 -0.0 -98.23 0
BottomS062443 7.0084 -37.0745 6.863e-20 8.059000000000001e-20 8.275e-20 -0.0 -98.0 0
BottomS062444 6.6032 -37.6094 8.246000000000001e-20 1.066e-19 1.31e-19 -0.001 -97.88 0
BottomS062446 7.0177 -37.5738 1.591e-19 1.832e-19 1.696e-19 0.0 -97.83 0
BottomS062453 7.1533 -37.7112 4.549e-19 4.836e-19 3.91e-19 -0.001 -97.65 0
BottomS062454 7.7776 -37.3495 7.518e-18 6.438e-18 3.502e-18 0.0 -98.63 0
BottomS062455 6.9758 -37.3819 2.271e-18 4.44e-18 1.277e-17 0.001 -98.93 0
BottomS062458 6.9676 -37.4702 1.65e-19 2.101e-19 2.46e-19 -0.0 -99.06 0
BottomS062459 7.1549 -37.3116 3.087e-19 3.238e-19 2.534e-19 0.0 -98.34 0
BottomS062461 6.7448 -36.9637 1.794e-19 1.982e-19 1.702e-19 -0.0 -98.34 0
BottomS062465 6.4426 -36.3154 4.778e-18 8.617e-18 2.021e-17 0.001 -98.01 0
BottomS062466 6.8718 -36.7501 2.472e-19 2.885e-19 2.842e-19 -0.0 -97.82 0
BottomS062467 6.7662 -36.9019 2.681e-20 3.547e-20 4.645e-20 0.001 -98.97 0
BottomS062468 7.0086 -37.7062 3.555e-20 4.822e-20 6.408000000000001e-20 0.001 -97.72 0
BottomS062472 6.9055 -37.7412 1.258e-19 1.481e-19 1.474e-19 -0.001 -98.3 0
BottomS062478 7.6052 -37.4323 3.815e-20 4.803e-20 5.394e-20 -0.001 -98.17 0
BottomS062481 6.9599 -36.968 8.471e-18 7.312e-18 3.841e-18 -0.0 -98.47 0
BottomS062484 6.916 -37.5294 9.656000000000001e-20 1.186e-19 1.275e-19 0.0 -97.65 0
BottomS062486 7.1572 -37.0479 1.294e-18 1.222e-18 7.933e-19 -0.0 -97.82 0
BottomS062487 6.5296 -36.7989 5.91e-18 5.122e-18 2.84e-18 0.0 -98.56 0
BottomS062489 7.1851 -37.3017 1.041e-19 1.237e-19 1.303e-19 0.0 -98.09 0
BottomS062492 6.617 -36.9838 4.1230000000000005e-20 5.556000000000001e-20 7.579000000000001e-20 0.0 -98.25 0
BottomS062493 7.1351 -37.3669 5.421e-17 1.438e-16 7.84e-16 -0.0 -98.79 0
BottomS062495 6.8501 -37.014 4.911e-19 5.228e-19 4.193e-19 0.0 -98.68 0
BottomS062500 6.4305 -36.444 4.928e-19 5.264e-19 4.35e-19 -0.0 -98.11 0
BottomS062504 6.3032 -37.7784 1.469e-13 1.025e-13 3.686e-14 -0.0 -98.46 0
BottomS062512 6.7589 -37.5889 3.805e-18 3.644e-18 2.353e-18 -0.0 -98.78 0
BottomS062514 6.9822 -37.1682 1.331e-19 1.52e-19 1.411e-19 -0.0 -98.33 0
BottomS062515 6.9896 -38.1193 9.340000000000001e-20 1.137e-19 1.236e-19 0.001 -97.96 0
BottomS062517 7.4216 -36.9702 3.649e-18 7.185e-18 2.058e-17 0.001 -98.51 0
BottomS062521 6.9534 -37.1369 4.4610000000000005e-20 5.714e-20 6.697e-20 0.0 -97.47 0
BottomS062523 6.8103 -36.5844 3.787e-19 4.287e-19 4.122e-19 -0.0 -98.6 0
BottomS062524 6.6181 -37.829 2.594e-20 3.4660000000000006e-20 4.457e-20 0.0 -98.93 0
BottomS062525 7.2843 -36.8099 6.986e-18 6.001e-18 3.307e-18 0.001 -98.17 0
BottomS062527 7.2985 -36.7135 3.245e-20 4.3030000000000005e-20 5.607e-20 0.0 -98.16 0
BottomS062528 7.063 -37.4522 2.226e-20 3.2110000000000006e-20 5.0250000000000013e-20 -0.001 -97.63 0
BottomS062529 7.4548 -36.6927 5.996000000000001e-20 7.388000000000001e-20 7.968000000000001e-20 -0.0 -98.67 0
BottomS062532 7.0273 -36.4538 8.474e-20 9.994e-20 1e-19 0.002 -98.71 0
BottomS062533 6.9577 -37.8349 1.512e-19 1.87e-19 2.15e-19 0.0 -98.37 0
BottomS062538 6.6734 -37.1604 1.753e-19 1.94e-19 1.719e-19 0.001 -98.53 0
BottomS062541 6.6246 -37.1751 1.718e-18 1.675e-18 1.108e-18 0.0 -98.16 0
BottomS062542 7.4909 -37.8802 4.976e-18 4.378e-18 2.348e-18 -0.001 -98.29 0
BottomS062543 7.1638 -37.4803 2.417e-19 2.765e-19 2.634e-19 -0.0 -98.12 0
BottomS062545 7.1096 -37.3919 2.11e-13 1.567e-13 6.413e-14 0.0 -98.57 0
BottomS062551 8.2659 -36.4748 4.913e-18 4.349e-18 2.451e-18 0.0 -98.0 0
BottomS062553 8.2766 -36.3599 6.212e-20 7.874000000000001e-20 9.293e-20 0.001 -97.7 0
BottomS062554 8.2242 -36.3237 7.96e-19 8.4e-19 6.819e-19 -0.0 -98.12 0
BottomS062556 8.2839 -36.3143 5.416e-20 6.974000000000001e-20 8.489000000000001e-20 -0.001 -96.88 0
BottomS062558 8.2726 -36.3515 4.2120000000000006e-20 5.272e-20 6.374e-20 -0.0 -97.69 0
BottomS062560 8.3345 -36.2361 1.016e-20 1.5710000000000003e-20 2.688e-20 0.0 -96.59 0
BottomS062563 8.2859 -36.2757 3.07e-18 2.803e-18 1.692e-18 -0.0 -96.79 0
BottomS062566 8.2454 -36.2664 9.469e-19 9.481e-19 6.773e-19 -0.001 -97.26 0
BottomS062571 8.2637 -36.3135 3.957e-18 3.692e-18 2.265e-18 0.0 -97.08 0
BottomS062574 8.2842 -36.1996 1.896e-20 2.6160000000000004e-20 3.692e-20 -0.0 -96.85 0
BottomS062575 8.2505 -36.3217 5.619000000000001e-20 7.589000000000001e-20 9.987e-20 -0.001 -98.35 0
BottomS062578 8.2628 -36.3099 1.704e-18 1.683e-18 1.205e-18 0.0 -96.66 0
BottomS062579 8.2422 -36.336 1.271e-19 1.546e-19 1.702e-19 -0.0 -98.38 0
BottomS062581 8.2643 -36.3218 3.688e-14 2.457e-14 7.977e-15 0.0 -96.73 0
BottomS062583 8.2398 -36.2208 1.104e-20 1.6680000000000002e-20 2.79e-20 -0.0 -97.18 0
BottomS062587 8.2774 -36.2263 1.125e-18 1.105e-18 7.84e-19 -0.0 -96.8 0
BottomS062588 8.1986 -36.38 1.821e-19 2.097e-19 2.058e-19 0.001 -98.55 0
