Name X Y BlueF GreenF RedF Parallax RadialVelocity Variable?
BackS032848 32.7639 22.586 5.2250000000000013e-20 6.371e-20 7.116000000000001e-20 0.001 -108.2 0
BackS032850 32.6783 22.5076 1.936e-14 1.332e-14 4.739e-15 -0.0 -109.7 0
BackS032851 32.6896 22.5493 1.097e-20 1.526e-20 2.072e-20 0.0 -108.97 0
BackS032858 32.715 22.539 1.431e-20 1.9710000000000003e-20 2.7630000000000005e-20 0.001 -108.8 0
BackS032861 32.6873 22.5527 9.627e-19 8.814e-19 5.456e-19 -0.0 -109.03 0
BackS032863 32.6453 22.5619 1.635e-18 1.477e-18 8.48e-19 0.0 -109.78 0
BackS032864 32.6084 22.5066 9.18e-19 8.848e-19 5.826e-19 0.001 -110.2 0
BackS032870 32.7019 22.5934 6.438000000000001e-20 7.785000000000001e-20 8.056000000000001e-20 -0.0 -108.69 0
BackS032874 32.6763 22.5574 1.959e-20 2.518e-20 2.9980000000000005e-20 -0.0 -109.61 0
BackS032881 32.7338 22.5588 1.035e-18 2.249e-18 8.082e-18 0.0 -108.37 0
BackS032882 32.6892 22.553 2.824e-19 2.916e-19 2.213e-19 -0.001 -108.47 0
BackS032883 32.6958 22.5435 2.17e-20 2.828e-20 3.5570000000000005e-20 0.001 -109.09 0
BackS032888 32.6917 22.5997 3.023e-19 3.098e-19 2.409e-19 0.0 -108.86 0
BackS032890 32.6934 22.5667 3.3020000000000004e-20 3.945e-20 4.234e-20 -0.001 -108.86 0
BackS032892 32.6825 22.5273 1.433e-18 2.408e-18 5.281e-18 -0.0 -109.62 0
BackS032899 32.7124 22.5692 1.926e-20 2.497e-20 3.0460000000000005e-20 0.0 -108.42 0
BackS032900 32.655 22.502 1.293e-18 2.43e-18 6.439e-18 0.0 -110.0 0
BackS032904 32.7616 22.5285 1.669e-18 2.964e-18 7e-18 -0.001 -108.78 0
BackS032907 32.6773 22.5319 1.7710000000000003e-20 2.25e-20 2.7700000000000005e-20 -0.0 -109.89 0
BackS032908 32.6875 22.5347 1.018e-20 1.4410000000000002e-20 2.148e-20 0.0 -109.5 0
BackS032912 32.5453 22.4765 3.261e-19 3.368e-19 2.62e-19 0.0 -110.1 0
BackS032915 32.6822 22.5587 1.078e-20 1.4060000000000002e-20 1.807e-20 -0.0 -109.21 0
BackS032917 32.7114 22.5556 1.3790000000000002e-20 1.788e-20 2.241e-20 -0.0 -108.54 0
BackS032920 32.6555 22.5441 5.514000000000001e-20 6.484e-20 6.504e-20 -0.001 -110.13 0
BackS032925 32.6473 22.5625 1.421e-19 1.528e-19 1.264e-19 0.001 -109.71 0
BackS032926 32.6635 22.5828 8.009e-20 9.207000000000001e-20 8.669000000000001e-20 -0.001 -109.37 0
BackS032929 32.7144 22.5244 2.126e-19 2.18e-19 1.637e-19 0.0 -109.12 0
BackS032931 32.6647 22.5477 6.724e-20 7.527e-20 6.882000000000001e-20 0.001 -109.93 0
BackS032934 32.6971 22.5703 8.854000000000001e-20 9.522e-20 8.252e-20 0.0 -108.82 0
BackS032940 32.7101 22.5665 1.6300000000000002e-20 2.124e-20 2.632e-20 0.0 -108.46 0
BackS032942 32.6571 22.5434 2.916e-19 2.997e-19 2.237e-19 0.001 -110.1 0
BackS032946 32.6447 22.5277 1.172e-19 1.229e-19 9.778e-20 -0.0 -110.25 0
BackS032949 32.6819 22.5478 6.988000000000001e-20 7.843000000000002e-20 7.151000000000001e-20 0.0 -109.91 0
BackS032950 32.6813 22.542 6.036e-19 6.05e-19 4.272e-19 0.0 -109.69 0
BackS032952 32.6885 22.5655 1.406e-18 3.201e-18 1.284e-17 0.0 -108.95 0
BackS032954 32.6478 22.5558 3.714e-20 4.5790000000000005e-20 5.202e-20 0.0 -109.84 0
BackS032956 32.677 22.5461 2.804e-18 5.376e-18 1.468e-17 0.0 -110.11 0
BackS032959 32.7044 22.5454 2.503e-18 3.973e-18 7.154e-18 0.0 -108.82 0
BackS032962 32.6931 22.5521 1.381e-20 1.8160000000000003e-20 2.3400000000000003e-20 0.001 -108.67 0
BackS032963 32.6433 22.4897 1.423e-18 2.064e-18 3.241e-18 -0.0 -110.05 0
BackS032968 32.7382 22.5639 5.072e-19 7.865e-19 1.449e-18 0.0 -108.37 0
BackS032982 32.645 22.4897 2.195e-19 2.208e-19 1.603e-19 -0.001 -110.08 0
BackS032992 32.6892 22.5541 7.436e-19 1.267e-18 2.715e-18 0.0 -108.64 0
BackS032998 32.5413 22.6857 7.501e-20 8.798000000000001e-20 8.528e-20 0.001 -109.36 0
BackS032999 32.6368 22.4981 2.554e-19 2.756e-19 2.288e-19 -0.001 -110.07 0
BackS033002 32.6926 22.5497 7.641e-19 1.376e-18 3.39e-18 -0.0 -108.4 0
BackS033007 32.6095 22.5055 2.482e-19 2.447e-19 1.726e-19 -0.001 -110.4 0
BackS033008 32.6834 22.5483 1.493e-13 1.167e-13 5.084e-14 0.0 -109.71 1
BackS033009 32.7118 22.5888 3.2880000000000005e-20 4.097e-20 4.616e-20 -0.0 -108.4 0
BackS033010 32.7004 22.5589 2.376e-18 5.41e-18 2.156e-17 0.0 -108.56 0
BackS033014 32.6676 22.4223 5.003e-14 3.569e-14 1.298e-14 0.0 -109.55 0
BackS033015 32.7483 22.5303 1.2270000000000002e-20 1.5920000000000002e-20 2.038e-20 -0.0 -108.83 0
BackS033016 32.7636 22.5907 3.487e-19 3.466e-19 2.508e-19 -0.0 -108.35 0
BackS033018 32.6049 22.5124 1.421e-18 2.615e-18 6.758e-18 -0.0 -110.1 0
BackS033026 32.5224 22.3597 5.647e-18 4.523e-18 2.066e-18 0.001 -109.92 0
BackS033029 32.8238 22.6021 4.0810000000000005e-20 4.8680000000000005e-20 4.912e-20 -0.0 -108.38 0
