Name,X,Y,BlueF,GreenF,RedF,Size,RadialVelocity
TopDG0021,7.6013,-32.1532,8.968e-18,7.134e-18,3.237e-18,98.8103,-1409.71
TopDG0022,7.4543,-32.2182,1.265e-17,1.088e-17,5.357e-18,56.0387,-1409.36
TopDG0023,7.6233,-32.1750,1.237e-17,1.078e-17,4.525e-18,42.3255,-1409.6
TopDG0024,7.6874,-32.0909,1.309e-17,1.027e-17,5.143e-18,50.5196,-1409.65
TopDG0025,7.4493,-32.1382,1.285e-17,1.019e-17,4.559e-18,60.5783,-1409.64
TopDG0026,7.6066,-31.9642,1.153e-17,1.042e-17,4.600e-18,48.3731,-1409.66
TopDG0027,7.5895,-32.1194,1.321e-17,9.891e-18,4.457e-18,49.4496,-1409.41
TopDG0028,7.5734,-32.0983,9.570e-18,7.525e-18,3.359e-18,60.3018,-1409.51
TopDG0042,-19.9875,-19.3332,1.824e-17,1.483e-17,6.969e-18,168.3636,-944.19
TopDG0043,-19.7876,-19.1651,2.598e-17,2.072e-17,1.013e-17,75.4478,-944.42
TopDG0044,-19.7736,-19.4140,2.800e-17,2.178e-17,1.056e-17,70.7452,-944.07
TopDG0045,-19.9369,-19.1971,2.844e-17,2.097e-17,1.004e-17,94.9568,-943.82
TopDG0046,-20.0134,-19.6172,2.508e-17,2.297e-17,1.043e-17,76.3862,-944.21
TopDG0047,-20.1918,-19.3143,2.442e-17,2.083e-17,9.137e-18,69.6602,-944.08
TopDG0048,-19.9702,-19.4957,2.850e-17,2.164e-17,9.939e-18,76.7446,-944.05
TopDG0049,-19.8466,-19.1979,2.932e-17,2.169e-17,1.016e-17,88.5434,-943.98
TopDG0130,8.9090,9.4362,8.943e-18,7.006e-18,3.306e-18,52.9893,-1537.51
TopDG0131,6.0177,-30.1276,5.851e-17,4.742e-17,1.628e-17,154.4269,-1083.88
TopDG0132,5.9424,-29.8589,2.125e-17,1.755e-17,8.293e-18,69.635,-1083.96
TopDG0133,5.8808,-30.2956,2.244e-17,1.920e-17,8.991e-18,63.7184,-1084.01
TopDG0134,5.7948,-30.3881,2.316e-17,1.713e-17,7.912e-18,63.1176,-1084.08
TopDG0135,5.9886,-30.3362,2.248e-17,2.041e-17,8.415e-18,80.2364,-1083.93
TopDG0136,6.2166,-30.2134,2.157e-17,1.877e-17,8.318e-18,64.5408,-1083.79
TopDG0137,5.8394,-29.9556,2.219e-17,1.817e-17,8.372e-18,68.6872,-1083.5
TopDG0138,6.0350,-30.5557,2.193e-17,1.904e-17,7.696e-18,58.3175,-1084.08
TopDG0139,6.0178,-29.8039,2.554e-17,2.128e-17,9.517e-18,71.1596,-1083.85
TopDG0140,6.1931,-30.0578,2.307e-17,2.057e-17,8.766e-18,82.3084,-1083.9
TopDG0141,5.7103,-29.9666,2.511e-17,1.920e-17,8.966e-18,69.9406,-1084.11
TopDG0142,5.7418,-29.9070,2.240e-17,1.751e-17,8.499e-18,63.0246,-1083.99
TopDG0143,6.3840,-30.0413,1.511e-17,1.266e-17,5.823e-18,73.0071,-1083.58
TopDG0144,5.9761,-29.7118,2.098e-17,1.786e-17,8.592e-18,73.3011,-1083.89
TopDG0256,44.7506,35.5273,1.751e-17,1.557e-17,7.079e-18,80.7411,-950.82
TopDG0448,-6.8976,-18.7849,1.201e-17,9.683e-18,4.430e-18,182.1581,-1209.91
TopDG0449,-6.9097,-18.9978,1.778e-17,1.454e-17,6.157e-18,60.6717,-1209.82
TopDG0450,-6.9103,-18.7443,1.676e-17,1.463e-17,7.092e-18,51.7931,-1209.78
TopDG0451,-6.8247,-18.6586,2.798e-17,2.073e-17,8.241e-18,64.1888,-1209.72
TopDG0452,-6.9068,-18.9768,2.123e-17,1.639e-17,6.398e-18,65.498,-1209.73
TopDG0453,-6.9900,-18.6194,1.285e-17,1.074e-17,5.004e-18,71.1918,-1209.81
TopDG0454,-6.8054,-18.9819,1.807e-17,1.423e-17,7.760e-18,64.6535,-1209.84
TopDG0455,-7.0216,-18.8949,2.043e-17,1.619e-17,8.015e-18,65.1507,-1209.66
TopDG0456,-7.0198,-18.7095,1.869e-17,1.541e-17,6.741e-18,60.2832,-1209.5
TopDG0614,43.3304,30.5438,7.676e-18,6.352e-18,3.047e-18,47.8205,-1660.48
TopDG0620,14.7327,33.4800,5.368e-17,4.455e-17,1.707e-17,288.1275,-525.7
TopDG0621,14.7788,33.6453,8.345e-17,6.248e-17,2.556e-17,122.3323,-525.55
TopDG0622,14.4137,33.6895,7.696e-17,5.964e-17,2.750e-17,120.6499,-525.57
TopDG0623,15.0001,32.9964,7.985e-17,6.292e-17,2.552e-17,111.9583,-525.46
TopDG0624,14.6499,33.3886,8.658e-17,6.760e-17,3.172e-17,123.91,-525.45
TopDG0625,14.7752,33.7976,8.916e-17,7.022e-17,3.261e-17,158.59,-525.57
TopDG0626,14.6253,33.4692,7.756e-17,6.184e-17,2.911e-17,164.702,-525.33
TopDG0663,0.0521,-19.9097,7.804e-18,6.672e-18,3.116e-18,49.8639,-1606.19
TopDG0696,-41.7830,31.8793,8.506e-18,6.602e-18,2.998e-18,128.7427,-1472.1
TopDG0697,-41.8542,31.7377,1.194e-17,9.762e-18,4.724e-18,47.6781,-1472.26
TopDG0698,-41.8244,31.8085,1.179e-17,1.011e-17,4.004e-18,40.0279,-1471.74
TopDG0699,-41.7660,31.8214,1.241e-17,1.035e-17,4.742e-18,56.0868,-1472.02
TopDG0700,-41.7966,31.8316,1.222e-17,1.084e-17,4.615e-18,62.9052,-1471.86
TopDG0701,-41.9071,31.9365,1.139e-17,9.837e-18,4.405e-18,47.7776,-1472.16
TopDG0702,-41.7415,31.6955,1.278e-17,1.091e-17,4.573e-18,56.5049,-1472.12
TopDG0703,-41.8921,31.7184,1.778e-17,1.315e-17,5.720e-18,53.1026,-1472.38
TopDG0704,-41.9309,31.9367,1.305e-17,1.153e-17,5.613e-18,57.0361,-1471.85
TopDG0705,-13.1305,-33.0950,8.770e-17,6.557e-17,2.892e-17,166.1062,-438.78
TopDG0734,23.2089,23.1661,5.951e-18,5.477e-18,2.326e-18,109.1082,-1711.93
TopDG0735,23.2749,23.1973,9.700e-18,8.475e-18,4.021e-18,40.8909,-1711.98
TopDG0736,23.0411,23.1710,1.057e-17,8.929e-18,4.151e-18,47.966,-1711.85
TopDG0737,23.2322,23.0335,1.069e-17,8.165e-18,3.883e-18,43.7813,-1711.86
TopDG0738,23.0241,23.1394,1.015e-17,7.778e-18,4.058e-18,49.7873,-1711.98
TopDG0739,23.2468,23.1300,9.300e-18,7.976e-18,3.715e-18,36.563,-1711.87
TopDG0740,23.2577,23.1074,1.061e-17,8.723e-18,4.376e-18,49.7036,-1711.8
TopDG0741,23.0307,23.1789,1.365e-17,1.084e-17,4.489e-18,51.2136,-1711.7
TopDG0742,23.1038,22.9957,1.018e-17,8.007e-18,3.998e-18,49.8779,-1711.96
TopDG0746,-43.8186,-11.6304,1.872e-17,1.598e-17,7.106e-18,81.4142,-923.51
TopDG0747,-43.7019,-11.5642,2.663e-17,2.376e-17,1.082e-17,73.0063,-923.28
TopDG0762,22.7403,-37.6897,8.611e-18,7.188e-18,3.243e-18,72.7761,-1390.63
TopDG0763,22.5178,-37.6306,1.279e-17,1.040e-17,4.308e-18,40.8936,-1390.93
TopDG0764,22.6363,-37.5025,1.265e-17,1.002e-17,4.523e-18,51.5878,-1390.68
TopDG0765,22.6772,-37.7526,9.457e-18,7.631e-18,3.476e-18,53.07,-1390.7
TopDG0766,22.7755,-37.7305,1.390e-17,1.189e-17,5.519e-18,54.4267,-1391.18
TopDG0767,22.9464,-37.9306,9.166e-18,8.028e-18,3.562e-18,54.9025,-1390.89
TopDG0768,22.9347,-37.5740,1.312e-17,1.062e-17,4.514e-18,46.927,-1391.07
TopDG0769,22.7172,-37.7849,1.363e-17,1.038e-17,4.208e-18,43.1918,-1390.86
TopDG0770,22.7242,-37.6840,1.154e-17,1.024e-17,4.713e-18,45.9736,-1390.64
TopDG0848,13.2558,-13.5737,5.549e-17,3.939e-17,1.528e-17,194.4051,-1084.57
TopDG0849,13.1795,-13.8208,2.187e-17,1.687e-17,7.938e-18,79.082,-1084.88
TopDG0850,13.1960,-13.6669,2.047e-17,1.721e-17,7.567e-18,80.592,-1084.58
TopDG0851,12.9054,-13.2553,2.088e-17,1.881e-17,8.032e-18,63.9686,-1084.7
TopDG0852,13.2258,-13.6414,1.387e-17,1.192e-17,5.047e-18,155.5919,-1084.49
TopDG0853,13.5443,-13.9737,1.937e-17,1.610e-17,7.298e-18,60.1293,-1085.03
TopDG0854,13.7461,-13.3804,2.130e-17,1.807e-17,7.102e-18,75.6812,-1084.47
TopDG0855,12.8937,-13.5736,1.462e-17,1.211e-17,5.599e-18,75.7985,-1084.74
