Name,X,Y,BlueF,GreenF,RedF,Parallax,RadialVelocity,Variable?
TopS043944,0.4997,25.0832,8.296e-20,9.442e-20,8.672e-20,0.0,-89.58,0
TopS043953,0.5001,25.0145,1.213e-19,1.324e-19,1.130e-19,-0.0,-90.39,0
TopS043965,0.4763,25.2200,2.956e-20,3.761e-20,4.372e-20,-0.001,-89.52,0
TopS043966,0.4952,25.0123,2.391e-14,1.614e-14,5.355e-15,-0.0,-90.56,0
TopS043988,0.5300,24.9652,3.037e-19,6.448e-19,2.188e-18,0.001,-90.63,0
TopS043990,0.4543,25.0225,5.161e-19,8.172e-19,1.563e-18,0.0,-90.0,0
TopS043991,0.4446,25.0703,1.486e-20,1.864e-20,2.175e-20,-0.0,-89.79,0
TopS043995,0.6175,24.9549,6.411e-20,7.277e-20,6.832e-20,-0.001,-90.37,0
TopS043998,0.5052,24.9830,4.996e-20,5.969e-20,6.269e-20,0.001,-90.67,0
TopS043999,0.4888,25.0294,7.849e-20,9.101e-20,8.529e-20,0.0,-89.61,0
TopS044005,0.6426,25.1216,3.083e-19,3.016e-19,2.105e-19,0.0,-89.82,0
TopS044010,0.5315,24.9725,1.511e-20,2.069e-20,2.807e-20,0.0,-90.5,0
TopS044011,0.4816,25.0102,1.192e-20,1.711e-20,2.511e-20,-0.0,-90.44,0
TopS044014,0.4944,25.0317,5.681e-20,6.686e-20,6.668e-20,-0.001,-89.65,0
TopS044016,0.4611,25.0614,6.775e-20,8.200e-20,8.724e-20,0.001,-89.6,0
TopS044017,0.4835,24.9827,1.593e-18,2.600e-18,5.224e-18,-0.0,-90.66,0
TopS044020,0.4800,24.9417,4.604e-19,4.548e-19,3.191e-19,-0.001,-90.77,0
TopS044021,0.5614,25.0022,2.040e-20,2.709e-20,3.494e-20,-0.001,-90.26,0
TopS044023,0.4907,25.1253,1.377e-18,2.256e-18,4.398e-18,-0.0,-89.42,0
TopS044027,0.5116,24.9621,6.696e-15,4.325e-15,1.350e-15,-0.0,-90.72,0
TopS044028,0.4522,25.0205,9.364e-19,9.413e-19,6.691e-19,0.001,-90.01,0
TopS044030,0.5050,25.0074,6.125e-20,6.734e-20,5.808e-20,0.001,-90.54,0
TopS044032,0.5029,24.9964,9.370e-19,1.633e-18,3.703e-18,-0.0,-90.57,0
TopS044037,0.4938,25.0251,1.779e-19,1.902e-19,1.554e-19,-0.001,-89.51,0
TopS044040,0.5028,25.0520,6.405e-19,1.405e-18,5.051e-18,-0.0,-89.51,0
TopS044049,0.5939,24.9092,8.832e-19,8.143e-19,5.019e-19,0.001,-90.59,0
TopS044052,0.4962,25.0134,1.717e-18,3.107e-18,7.436e-18,-0.0,-90.61,0
TopS044053,0.5116,25.0325,3.001e-18,2.639e-18,1.484e-18,0.0,-89.98,0
TopS044060,0.4801,25.0700,5.551e-18,1.307e-17,5.454e-17,-0.0,-89.5,0
TopS044061,0.6323,25.0435,1.656e-20,2.180e-20,2.789e-20,-0.0,-90.01,0
TopS044062,0.3930,25.0601,1.432e-18,3.582e-18,1.670e-17,-0.0,-89.81,0
TopS044066,0.4546,25.0242,3.978e-14,2.735e-14,9.284e-15,0.0,-90.01,0
TopS044069,0.4831,25.0119,5.306e-18,4.189e-18,1.968e-18,-0.0,-90.47,0
TopS044072,0.4524,25.0361,1.067e-20,1.381e-20,1.675e-20,0.001,-89.79,0
TopS044074,0.4895,25.0212,2.590e-20,3.391e-20,4.391e-20,0.001,-90.22,0
TopS044075,0.4755,24.9981,1.933e-19,2.030e-19,1.640e-19,0.0,-90.54,0
TopS044076,0.5667,25.0387,3.527e-18,2.983e-18,1.503e-18,-0.001,-90.06,0
TopS044081,0.5004,25.0182,2.951e-19,3.089e-19,2.467e-19,0.0,-90.21,0
TopS044082,0.5096,25.0326,3.619e-19,3.560e-19,2.618e-19,-0.0,-89.88,0
TopS044083,0.5030,25.0240,1.365e-20,1.825e-20,2.375e-20,-0.001,-90.19,0
TopS044084,0.4880,25.0255,1.579e-20,2.168e-20,3.004e-20,-0.0,-89.46,0
TopS044088,0.4737,25.0155,1.954e-18,3.488e-18,8.292e-18,0.0,-90.18,0
TopS044090,0.4929,25.0181,1.309e-18,1.219e-18,7.425e-19,-0.0,-90.69,0
TopS044091,0.4905,24.9634,1.573e-18,1.336e-18,6.935e-19,0.001,-90.65,0
TopS044095,0.5083,25.0331,9.395e-20,1.056e-19,9.585e-20,-0.0,-89.96,0
TopS044096,0.4858,25.0173,5.274e-20,6.255e-20,6.301e-20,-0.0,-90.32,0
TopS044098,0.4297,25.0252,2.232e-20,2.780e-20,3.233e-20,-0.0,-90.09,0
TopS044103,0.4841,24.9741,7.550e-20,8.260e-20,7.122e-20,-0.0,-90.72,0
TopS044104,0.4789,25.0436,2.727e-19,2.717e-19,1.914e-19,0.001,-89.66,0
TopS044107,0.6046,24.9314,1.035e-20,1.327e-20,1.649e-20,-0.001,-90.51,0
TopS044108,0.5430,24.9758,3.815e-18,3.210e-18,1.680e-18,-0.0,-90.42,0
TopS044109,0.4260,25.1207,2.479e-20,3.168e-20,3.661e-20,-0.0,-89.56,0
TopS044110,0.4876,25.0002,3.627e-20,4.566e-20,5.276e-20,-0.0,-90.53,0
TopS044114,0.4711,25.0351,1.108e-20,1.499e-20,1.955e-20,0.0,-89.76,0
TopS044116,0.4854,25.0399,1.147e-19,1.221e-19,9.815e-20,-0.001,-89.68,0
TopS044117,0.4803,25.0204,3.231e-20,3.784e-20,3.845e-20,-0.0,-90.08,0
TopS044118,0.4708,25.1230,3.482e-14,2.394e-14,8.327e-15,-0.0,-89.44,0
TopS044123,0.4978,25.0806,9.807e-20,1.072e-19,9.139e-20,-0.0,-89.5,0
TopS044131,0.4921,25.0027,1.582e-19,1.716e-19,1.489e-19,0.0,-90.62,0
TopS044141,0.4358,25.0247,1.927e-20,2.556e-20,3.214e-20,0.0,-90.05,0
TopS044142,0.4901,25.0223,3.662e-18,3.057e-18,1.515e-18,-0.0,-88.65,0
TopS044143,0.4948,25.0355,1.993e-19,2.085e-19,1.701e-19,-0.0,-89.7,0
TopS044147,0.5051,24.9503,7.420e-19,1.173e-18,2.170e-18,0.001,-90.71,0
TopS044149,0.4731,25.0504,1.829e-18,2.872e-18,5.346e-18,-0.001,-89.68,0
TopS044150,0.4791,25.0172,3.861e-20,4.574e-20,4.610e-20,0.0,-90.28,0
TopS044152,0.4708,24.9953,5.445e-19,5.151e-19,3.288e-19,-0.0,-90.52,0
TopS044162,0.4872,25.0220,1.469e-20,1.912e-20,2.432e-20,-0.001,-89.9,0
TopS044165,0.4400,25.0402,1.941e-19,2.027e-19,1.637e-19,-0.0,-89.87,0
TopS044177,0.4885,25.0348,6.771e-20,8.041e-20,8.202e-20,-0.0,-89.63,0
TopS044180,0.5160,25.0324,1.042e-18,9.437e-19,5.781e-19,0.001,-89.77,0
