Name,X,Y,BlueF,GreenF,RedF,Size,RadialVelocity
BackDG0050,-8.2964,-27.6046,8.485e-18,7.266e-18,3.064e-18,110.489,-1493.96
BackDG0051,-8.2302,-27.7291,1.178e-17,9.976e-18,4.070e-18,44.4239,-1493.93
BackDG0052,-8.3449,-27.6217,1.270e-17,9.513e-18,5.255e-18,52.2977,-1494.05
BackDG0053,-8.4188,-27.5488,1.311e-17,1.080e-17,4.945e-18,57.9153,-1493.85
BackDG0054,-8.3127,-27.4879,8.319e-18,7.351e-18,3.251e-18,53.0088,-1493.76
BackDG0055,-8.3914,-27.4667,1.187e-17,1.032e-17,4.557e-18,59.742,-1493.83
BackDG0056,-8.3153,-27.6791,1.231e-17,9.589e-18,4.681e-18,49.7761,-1493.71
BackDG0057,-8.4172,-27.5645,1.138e-17,1.055e-17,4.393e-18,56.7054,-1494.27
BackDG0060,11.8481,-37.5216,2.953e-17,2.235e-17,7.495e-18,113.9771,-1653.68
BackDG0061,11.5226,-37.5210,1.173e-17,9.480e-18,4.509e-18,44.1836,-1653.49
BackDG0062,11.6108,-37.0244,1.164e-17,9.491e-18,4.249e-18,40.0076,-1653.82
BackDG0063,11.8445,-37.2609,5.935e-18,5.039e-18,2.571e-18,58.1681,-1653.22
BackDG0064,11.5909,-37.1409,1.005e-17,9.188e-18,3.541e-18,40.4713,-1653.4
BackDG0065,11.5448,-37.7947,1.079e-17,8.813e-18,3.611e-18,57.7982,-1653.29
BackDG0066,12.2253,-37.3389,1.480e-17,1.201e-17,4.462e-18,44.993,-1653.33
BackDG0067,12.1137,-37.3743,1.065e-17,9.800e-18,4.345e-18,48.8066,-1653.43
BackDG0068,12.0211,-37.4371,1.106e-17,8.850e-18,4.873e-18,40.3505,-1653.51
BackDG0069,11.8584,-37.5071,6.815e-18,5.942e-18,2.644e-18,120.4825,-1653.76
BackDG0070,12.2484,-37.9275,1.004e-17,8.480e-18,3.842e-18,42.3046,-1653.71
BackDG0071,11.6120,-37.2491,6.797e-18,5.854e-18,2.583e-18,51.9546,-1653.45
BackDG0072,11.6390,-37.5577,9.884e-18,7.964e-18,3.862e-18,39.0872,-1653.4
BackDG0073,12.0477,-37.8169,7.187e-18,5.630e-18,2.640e-18,63.6242,-1653.53
BackDG0074,11.7407,-37.0211,7.292e-18,6.582e-18,2.835e-18,44.1905,-1653.54
