Name,X,Y,BlueF,GreenF,RedF,Size,RadialVelocity
BottomDG0083,8.3218,24.9417,6.161e-17,4.203e-17,1.532e-17,213.3696,-1151.67
BottomDG0084,8.4951,25.1127,2.225e-17,1.681e-17,8.291e-18,67.9831,-1151.49
BottomDG0085,8.4027,24.7846,1.898e-17,1.673e-17,7.841e-18,59.0744,-1151.11
BottomDG0086,8.4083,24.5170,2.056e-17,1.932e-17,8.144e-18,74.3846,-1151.49
BottomDG0087,8.3905,24.7937,2.095e-17,1.699e-17,8.029e-18,76.356,-1151.73
BottomDG0088,8.4876,25.2232,2.258e-17,1.932e-17,8.610e-18,66.3884,-1151.69
BottomDG0089,8.2321,25.1163,2.028e-17,1.944e-17,8.673e-18,75.409,-1151.2
BottomDG0090,8.4594,25.1694,2.161e-17,1.862e-17,7.759e-18,83.3617,-1151.58
BottomDG0091,8.1649,24.8166,2.234e-17,1.679e-17,7.828e-18,62.2395,-1151.26
BottomDG0092,8.3308,25.1107,1.999e-17,1.559e-17,6.718e-18,48.9188,-1151.44
BottomDG0093,8.3079,25.1336,1.432e-17,1.252e-17,5.326e-18,73.0011,-1151.81
BottomDG0094,8.1046,24.9227,3.124e-17,2.120e-17,9.790e-18,62.0819,-1151.2
BottomDG0095,8.1904,25.2929,2.030e-17,1.605e-17,7.493e-18,66.4655,-1151.73
BottomDG0096,-23.9493,2.0357,3.837e-17,3.026e-17,1.039e-17,158.4167,-1365.99
BottomDG0097,-23.6748,2.1824,1.417e-17,1.182e-17,4.591e-18,62.309,-1365.81
BottomDG0098,-23.8050,1.6949,1.357e-17,1.099e-17,5.369e-18,52.722,-1366.2
BottomDG0099,-23.5974,2.0638,9.984e-18,8.443e-18,3.724e-18,84.9134,-1365.87
BottomDG0100,-24.0408,1.6092,1.524e-17,1.206e-17,5.586e-18,62.1453,-1366.1
BottomDG0101,-23.5712,2.2616,9.215e-18,7.403e-18,3.818e-18,57.1675,-1366.07
BottomDG0102,-24.1899,1.8371,1.414e-17,1.068e-17,5.300e-18,50.3363,-1365.87
BottomDG0103,-23.8242,2.0049,1.357e-17,1.139e-17,4.611e-18,49.5005,-1366.14
BottomDG0104,-23.6528,2.0085,1.952e-17,1.533e-17,6.231e-18,46.7042,-1365.81
BottomDG0105,-23.9967,2.3108,9.633e-18,8.780e-18,3.844e-18,55.151,-1366.3
BottomDG0106,-24.1910,2.0963,1.379e-17,1.066e-17,5.233e-18,44.1428,-1366.23
BottomDG0107,-24.5266,2.0239,1.478e-17,1.121e-17,5.884e-18,61.2087,-1365.69
BottomDG0108,-23.6095,2.3915,1.427e-17,1.294e-17,5.198e-18,55.4264,-1365.7
BottomDG0109,-23.6875,2.0843,1.398e-17,1.120e-17,5.479e-18,57.518,-1365.83
BottomDG0110,-23.9101,1.5191,1.543e-17,1.248e-17,5.670e-18,56.3269,-1365.94
BottomDG0111,-24.1795,2.0841,9.358e-18,8.374e-18,3.477e-18,86.276,-1366.21
BottomDG0112,-24.1437,1.9666,1.169e-17,8.963e-18,4.130e-18,69.5355,-1365.94
BottomDG0113,-23.6923,1.7839,1.464e-17,1.216e-17,4.836e-18,54.1309,-1366.03
BottomDG0114,-23.8238,1.8371,1.089e-17,9.080e-18,4.318e-18,90.2846,-1365.91
BottomDG0115,-23.5689,2.1036,1.362e-17,1.063e-17,5.013e-18,52.0136,-1366.19
BottomDG0116,-23.9246,2.2569,1.424e-17,1.011e-17,5.604e-18,52.7463,-1365.96
BottomDG0117,-24.0357,2.0992,1.088e-17,8.113e-18,4.100e-18,88.6363,-1366.12
BottomDG0118,-23.8155,1.9993,1.558e-17,1.192e-17,5.680e-18,65.9423,-1365.89
BottomDG0119,-23.7679,1.7177,1.397e-17,1.196e-17,5.561e-18,52.1762,-1365.76
BottomDG0120,-23.9990,2.3189,1.642e-17,1.178e-17,4.986e-18,55.1384,-1365.75
BottomDG0165,-14.3712,-20.4770,8.928e-18,7.507e-18,3.702e-18,68.1472,-1437.21
BottomDG0166,-14.3476,-20.5465,1.349e-17,1.116e-17,5.398e-18,51.8109,-1437.34
BottomDG0167,-14.4263,-20.5280,1.566e-17,1.235e-17,5.801e-18,60.3488,-1437.14
BottomDG0290,10.1930,-40.9454,2.382e-17,1.762e-17,6.849e-18,93.3329,-1792.75
BottomDG0291,10.2429,-41.4527,8.225e-18,6.906e-18,3.232e-18,35.9195,-1792.91
BottomDG0292,10.0687,-41.2309,8.165e-18,7.883e-18,3.561e-18,40.4519,-1793.3
BottomDG0293,10.0547,-41.2485,9.091e-18,8.018e-18,3.517e-18,46.3979,-1793.2
BottomDG0294,10.2894,-40.7652,8.273e-18,6.739e-18,3.098e-18,41.2248,-1793.05
BottomDG0295,10.3746,-41.0781,6.887e-18,5.336e-18,2.684e-18,75.7623,-1793.1
BottomDG0296,10.3702,-41.1369,5.304e-18,4.850e-18,2.224e-18,51.2631,-1793.05
BottomDG0297,10.3567,-41.3690,5.669e-18,4.405e-18,2.518e-18,52.4997,-1792.78
BottomDG0298,10.1368,-40.7779,8.726e-18,7.575e-18,3.245e-18,46.5243,-1793.11
BottomDG0299,10.0973,-40.7496,9.434e-18,7.575e-18,3.335e-18,46.3098,-1793.06
BottomDG0300,10.3173,-41.1467,8.838e-18,7.343e-18,3.302e-18,34.4366,-1793.06
BottomDG0301,10.1898,-40.6029,8.281e-18,7.444e-18,3.506e-18,47.3094,-1793.06
BottomDG0302,10.1448,-40.7443,8.271e-18,6.917e-18,3.425e-18,33.7611,-1793.05
BottomDG0303,10.1699,-40.8397,5.482e-18,5.024e-18,2.141e-18,83.366,-1792.82
BottomDG0304,10.0985,-41.1963,8.364e-18,7.253e-18,3.133e-18,40.955,-1793.11
BottomDG0305,10.1700,-40.8239,8.863e-18,7.394e-18,3.402e-18,49.8245,-1792.83
BottomDG0306,10.1773,-40.6775,8.315e-18,6.774e-18,3.032e-18,39.3568,-1793.16
BottomDG0307,10.4690,-41.1210,5.668e-18,4.307e-18,2.001e-18,49.7911,-1792.73
BottomDG0308,9.9604,-40.7230,8.579e-18,7.960e-18,3.465e-18,42.7092,-1793.11
BottomDG0309,10.3483,-41.0880,5.734e-18,4.754e-18,2.519e-18,44.4029,-1792.81
BottomDG0310,10.3867,-40.9839,5.268e-18,4.879e-18,2.333e-18,37.1194,-1793.06
BottomDG0351,-14.8204,23.3535,7.438e-18,6.170e-18,2.809e-18,46.3958,-1633.96
BottomDG0352,-0.0692,12.1719,1.500e-17,1.233e-17,5.443e-18,120.5651,-1161.64
BottomDG0353,-0.0580,12.1532,1.763e-17,1.438e-17,6.910e-18,57.0675,-1161.84
BottomDG0354,-0.0213,12.2567,1.399e-17,1.065e-17,4.592e-18,62.6021,-1161.39
BottomDG0355,-0.0541,12.1189,2.024e-17,1.556e-17,6.512e-18,74.357,-1161.8
BottomDG0356,-0.1078,12.2325,1.809e-17,1.577e-17,6.077e-18,62.3221,-1161.73
BottomDG0357,-0.1535,12.1791,1.877e-17,1.525e-17,6.517e-18,51.7617,-1161.46
BottomDG0410,37.4574,-17.1339,1.280e-17,1.112e-17,4.741e-18,74.8597,-1148.6
BottomDG0457,-20.6762,-11.3463,3.592e-17,2.144e-17,8.709e-18,112.8609,-1568.55
BottomDG0458,-20.6422,-11.4357,1.221e-17,9.081e-18,4.682e-18,50.245,-1568.46
BottomDG0459,-20.7807,-11.2541,1.055e-17,9.686e-18,4.652e-18,54.0882,-1569.06
BottomDG0460,-20.5090,-11.3985,1.151e-17,9.335e-18,4.605e-18,56.6302,-1568.51
BottomDG0461,-20.6517,-11.3352,1.024e-17,9.047e-18,3.745e-18,43.4406,-1568.47
BottomDG0462,-20.5498,-11.2683,1.097e-17,8.881e-18,4.272e-18,40.871,-1568.84
BottomDG0463,-20.7036,-11.3456,1.115e-17,9.513e-18,4.223e-18,48.1829,-1568.47
BottomDG0464,-20.6735,-11.4204,1.131e-17,8.635e-18,4.071e-18,51.9188,-1568.82
BottomDG0465,-20.5547,-11.4688,9.963e-18,8.907e-18,3.701e-18,44.0874,-1568.65
BottomDG0466,-20.6639,-11.2667,1.132e-17,8.386e-18,4.250e-18,47.5999,-1568.59
BottomDG0467,-20.6990,-11.2365,1.189e-17,1.032e-17,4.858e-18,44.2251,-1568.79
BottomDG0468,-20.6551,-11.4297,1.146e-17,9.744e-18,4.769e-18,48.4165,-1569.06
BottomDG0480,-10.5795,18.1058,7.584e-18,6.110e-18,2.726e-18,94.6797,-1717.65
BottomDG0481,-10.5556,18.0217,1.121e-17,9.375e-18,4.106e-18,48.7576,-1717.43
BottomDG0482,-10.6175,18.1816,1.001e-17,7.748e-18,3.521e-18,38.8463,-1717.58
BottomDG0483,-10.5849,18.1354,9.741e-18,8.235e-18,3.775e-18,39.8404,-1717.49
BottomDG0484,-10.6341,18.0785,1.011e-17,8.733e-18,3.716e-18,37.1656,-1717.56
BottomDG0485,-10.6017,18.0397,1.064e-17,9.206e-18,3.824e-18,55.4185,-1717.82
BottomDG0486,-10.4764,18.0629,1.097e-17,8.865e-18,4.116e-18,49.1216,-1717.25
BottomDG0487,-10.5891,18.2547,1.098e-17,8.169e-18,4.191e-18,37.4174,-1717.48
BottomDG0488,-43.7267,-25.1938,2.598e-17,2.103e-17,9.940e-18,136.0258,-724.86
BottomDG0489,-43.7170,-25.2419,3.035e-17,2.455e-17,9.163e-18,101.8557,-724.9
BottomDG0490,-43.7846,-25.2792,3.845e-17,3.396e-17,1.501e-17,116.6131,-724.83
BottomDG0491,-43.8794,-24.9898,4.422e-17,3.447e-17,1.361e-17,112.1796,-724.62
BottomDG0492,-43.9849,-25.3343,4.120e-17,3.375e-17,1.490e-17,103.3227,-724.88
BottomDG0627,41.1682,18.6528,5.528e-17,4.400e-17,1.773e-17,95.4799,-819.94
BottomDG0628,40.9299,18.6406,2.716e-17,2.267e-17,8.952e-18,92.6915,-819.86
BottomDG0632,-2.9987,-33.7932,9.436e-18,8.456e-18,3.785e-18,44.9843,-1752.43
BottomDG0633,-3.0266,-33.8061,8.660e-18,7.821e-18,3.340e-18,43.1012,-1752.58
BottomDG0664,17.4585,-21.7422,2.213e-17,1.768e-17,8.327e-18,206.6397,-862.34
BottomDG0665,17.4754,-21.9252,3.169e-17,2.709e-17,1.283e-17,84.7848,-862.51
BottomDG0666,17.6046,-21.7562,3.104e-17,2.536e-17,1.096e-17,81.812,-862.71
BottomDG0667,17.3011,-21.8894,3.237e-17,2.529e-17,1.193e-17,64.969,-862.16
BottomDG0668,17.4970,-21.4869,3.094e-17,2.546e-17,1.012e-17,83.082,-862.15
BottomDG0669,17.2947,-21.7846,3.277e-17,2.568e-17,1.096e-17,94.4206,-862.55
BottomDG0670,17.3813,-21.7948,3.252e-17,2.656e-17,1.156e-17,99.6783,-862.44
BottomDG0671,17.3007,-21.7013,2.985e-17,2.438e-17,1.192e-17,74.969,-862.23
BottomDG0715,-2.5201,-11.7596,3.812e-17,3.180e-17,1.360e-17,314.4354,-580.12
BottomDG0716,-2.4630,-12.0496,6.788e-17,5.432e-17,2.335e-17,132.8513,-579.89
BottomDG0717,-2.5652,-12.0187,6.245e-17,6.117e-17,2.277e-17,113.1748,-579.98
