Name,X,Y,BlueF,GreenF,RedF,Size,RadialVelocity
FrontDG0058,-2.2858,28.5137,2.375e-17,2.183e-17,8.049e-18,78.362,-1032.76
FrontDG0059,-2.2163,28.5842,3.588e-17,2.969e-17,1.116e-17,62.2796,-1032.56
FrontDG0121,-10.3346,20.5447,2.358e-17,1.981e-17,8.470e-18,98.5109,-878.35
FrontDG0155,-14.8682,-23.2115,4.443e-17,3.670e-17,1.116e-17,166.2307,-1246.0
FrontDG0156,-14.7833,-23.2064,1.475e-17,1.256e-17,5.810e-18,56.5016,-1246.02
FrontDG0157,-14.9482,-23.1831,2.441e-17,1.844e-17,8.498e-18,55.3615,-1246.07
FrontDG0158,-14.7910,-23.3417,1.777e-17,1.217e-17,5.947e-18,57.4917,-1245.92
FrontDG0159,-14.7535,-23.3618,1.643e-17,1.181e-17,6.129e-18,50.3562,-1245.92
FrontDG0160,-14.8790,-23.4165,1.621e-17,1.359e-17,6.625e-18,69.153,-1245.97
FrontDG0161,-15.0587,-23.1645,1.706e-17,1.573e-17,6.981e-18,60.1388,-1246.15
FrontDG0162,-15.0598,-23.0939,2.470e-17,1.813e-17,7.911e-18,63.6297,-1245.7
FrontDG0163,-14.9985,-23.0273,1.836e-17,1.407e-17,6.411e-18,75.6668,-1246.07
FrontDG0164,-14.9099,-23.1884,1.593e-17,1.226e-17,6.156e-18,47.8411,-1246.24
FrontDG0175,-22.5778,-5.7216,2.930e-17,2.272e-17,8.110e-18,167.0159,-1637.86
FrontDG0176,-22.5094,-5.6778,1.025e-17,8.852e-18,4.122e-18,42.9704,-1637.84
FrontDG0177,-22.4463,-5.6812,9.696e-18,8.870e-18,4.048e-18,45.651,-1637.62
FrontDG0178,-22.4924,-5.5815,1.062e-17,8.518e-18,3.790e-18,49.224,-1637.49
FrontDG0179,-22.6242,-5.7714,6.752e-18,5.307e-18,2.567e-18,81.8845,-1637.61
FrontDG0180,-22.4543,-5.6963,1.071e-17,8.025e-18,4.238e-18,47.6504,-1637.84
FrontDG0181,-22.8175,-5.8114,9.834e-18,8.498e-18,3.945e-18,56.6614,-1637.33
FrontDG0182,-22.4985,-5.6662,9.770e-18,7.126e-18,3.687e-18,46.4445,-1637.45
FrontDG0183,-22.5093,-5.7296,1.528e-17,1.142e-17,5.426e-18,40.1524,-1637.75
FrontDG0184,-22.6547,-5.8016,1.040e-17,9.661e-18,4.361e-18,46.206,-1637.72
FrontDG0185,-22.5189,-5.5429,1.095e-17,9.811e-18,4.207e-18,44.7233,-1637.56
FrontDG0186,-22.5511,-5.7651,1.095e-17,8.068e-18,4.597e-18,39.3487,-1637.7
FrontDG0209,24.5771,44.0622,9.501e-18,8.534e-18,3.793e-18,46.116,-1688.43
FrontDG0210,24.4947,43.9808,1.095e-17,7.513e-18,3.679e-18,50.0587,-1688.52
FrontDG0211,24.6205,44.1456,1.080e-17,8.073e-18,4.253e-18,45.3937,-1688.65
FrontDG0212,24.5391,43.9582,9.445e-18,8.023e-18,3.150e-18,38.977,-1688.63
FrontDG0235,1.7137,-1.9285,9.668e-18,8.180e-18,3.873e-18,89.5597,-1360.05
FrontDG0236,1.7951,-1.9106,1.053e-17,7.621e-18,3.611e-18,62.0269,-1359.95
FrontDG0237,1.6788,-1.8465,1.013e-17,8.641e-18,3.474e-18,61.3136,-1360.19
FrontDG0238,1.7604,-1.9489,1.805e-17,1.630e-17,6.617e-18,47.6271,-1359.99
FrontDG0239,1.6284,-1.8524,1.494e-17,1.286e-17,5.943e-18,66.4017,-1360.16
FrontDG0243,-37.6681,-27.0465,1.406e-17,1.360e-17,6.103e-18,58.9366,-1284.62
