Name,X,Y,BlueF,GreenF,RedF,Parallax,RadialVelocity,Variable?
FrontS092279,41.3653,-4.0720,1.724e-19,2.941e-19,6.270e-19,0.001,2.9,0
FrontS092281,41.8302,-4.3274,4.866e-16,3.890e-16,1.816e-16,0.001,4.44,0
FrontS092282,42.4466,-4.0747,6.840e-17,6.595e-17,4.606e-17,-0.0,3.42,0
FrontS092284,41.9499,-3.6668,3.155e-17,3.554e-17,3.379e-17,-0.0,3.94,0
FrontS092285,41.0796,-4.1629,4.858e-18,5.829e-18,6.240e-18,0.0,2.78,0
FrontS092286,41.5108,-4.1624,2.164e-20,4.423e-20,1.451e-19,0.001,2.91,0
FrontS092287,41.5098,-4.2191,6.649e-17,6.528e-17,4.624e-17,0.001,3.39,0
FrontS092289,41.6005,-3.9888,5.136e-18,6.555e-18,7.830e-18,0.0,3.86,0
FrontS092290,41.5175,-3.8727,2.620e-15,2.026e-15,8.647e-16,-0.0,3.54,1
FrontS092292,41.1214,-3.8959,1.246e-15,9.992e-16,4.762e-16,0.001,2.88,0
FrontS092293,40.9888,-4.6797,4.829e-16,4.157e-16,2.248e-16,-0.0,4.02,0
FrontS092294,40.9087,-3.6497,2.589e-16,2.230e-16,1.175e-16,0.001,4.07,0
FrontS092295,41.6486,-5.1462,1.329e-15,1.066e-15,4.863e-16,0.001,3.82,0
FrontS092296,42.2748,-4.3105,6.982e-19,1.038e-18,1.693e-18,-0.001,4.29,0
FrontS092297,42.0276,-4.7908,5.100e-18,6.034e-18,6.182e-18,0.0,2.71,0
FrontS092298,41.4414,-4.4845,6.323e-17,1.143e-16,2.839e-16,0.0,4.23,0
FrontS092299,42.4320,-3.8936,1.527e-19,2.429e-19,4.707e-19,0.001,3.48,0
FrontS092302,41.5800,-4.2876,4.127e-17,4.267e-17,3.147e-17,0.001,3.57,0
FrontS092303,41.7439,-4.1634,1.411e-17,1.513e-17,1.303e-17,0.001,4.71,0
FrontS092304,40.4167,-4.1976,4.973e-18,6.324e-18,7.543e-18,0.0,4.08,0
FrontS092308,41.1849,-4.4690,1.875e-16,1.631e-16,8.652e-17,-0.0,4.2,0
FrontS092311,41.5978,-4.8228,2.204e-18,2.922e-18,3.701e-18,0.001,4.61,0
FrontS092313,41.3385,-4.7885,6.576e-18,7.669e-18,7.733e-18,0.001,4.73,0
FrontS092314,40.4952,-4.2749,1.573e-18,2.140e-18,2.805e-18,0.001,4.07,0
FrontS092315,41.8027,-3.9262,3.284e-16,7.117e-16,2.661e-15,-0.001,3.67,0
FrontS092316,41.5320,-4.3834,9.084e-20,1.637e-19,3.996e-19,0.0,4.29,0
FrontS092317,41.2225,-4.5008,8.915e-17,8.703e-17,6.088e-17,-0.0,4.61,0
FrontS092318,41.1723,-4.4312,2.119e-16,3.186e-16,5.172e-16,0.001,4.34,0
FrontS092319,41.3833,-4.8909,2.773e-19,4.383e-19,8.145e-19,0.0,3.99,0
FrontS092320,41.4734,-4.4838,5.226e-19,7.441e-19,1.103e-18,0.001,2.74,0
FrontS092321,41.1960,-4.2820,1.678e-17,1.922e-17,1.765e-17,-0.001,3.4,0
FrontS092322,41.6146,-4.8372,1.819e-20,3.686e-20,1.135e-19,0.0,3.88,0
FrontS092325,41.9041,-3.9874,3.151e-18,3.759e-18,3.798e-18,0.001,2.67,0
FrontS092326,41.7402,-3.9631,2.448e-18,3.158e-18,3.925e-18,0.001,3.89,0
